doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,7,Univariate ANOVA (AttrakDiff ATT),60,.006,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,7,Univariate ANOVA (AttrakDiff ATT),60,< .001,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,7,Univariate ANOVA (AttrakDiff ATT),60,.148,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,8,ANOVA (Questionnaire Completion Time),60,.015,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,9,ANOVA of Aligned and Ranked Tests (ART) for Word Count,60,.013,,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,9,ANOVA of Aligned and Ranked Tests (ART) for Word Count,60,.431,Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,9,ANOVA of Aligned and Ranked Tests (ART) for Word Count,60,.208,Method × Artifact,,,,,,
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,1,Cronbach's Alpha (SUS),.734,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,2,Cronbach's Alpha (ARI),.846,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.870,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.668,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.892,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,10,Cronbach's Alpha (Online Method),12,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.833,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,1,Cronbach's Alpha (SUS),.703,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,2,Cronbach's Alpha (ARI),.747,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.813,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.616,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.895,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,11,Cronbach's Alpha (VR Method),12,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.758,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,1,Cronbach's Alpha (SUS),.718,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,2,Cronbach's Alpha (ARI),.860,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.829,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.512,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.909,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,12,Cronbach's Alpha (AR Method),12,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.854,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,1,Cronbach's Alpha (SUS),.648,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,2,Cronbach's Alpha (ARI),.617,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.726,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.483,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.861,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,13,Cronbach's Alpha (Lab Method),12,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.811,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,1,Cronbach's Alpha (SUS),.513,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,2,Cronbach's Alpha (ARI),.700,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.790,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.540,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.911,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,14,Cronbach's Alpha (In-Situ Method),12,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.786,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,1,Cronbach's Alpha (SUS),.698,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,2,Cronbach's Alpha (ARI),.794,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,3,Cronbach's Alpha (AttrakDiff PQ),.814,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,4,Cronbach's Alpha (AttrakDiff HQI),.559,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,5,Cronbach's Alpha (AttrakDiff HQS),.911,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300737,hci design and evaluation methods;human-centered computing;empirical studies in hci;mobile computing;ubiquitous and mobile computing design and evaluation methods;ubiquitous and mobile computing;field studies;user studies,15,Cronbach's Alpha (All Methods Combined),60,UNKNOWN,,6,Cronbach's Alpha (AttrakDiff ATT),.806,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,1,Four-factor mixed-factors ANCOVA,606,< .001,,1,Mean discriminability rate (L* axis),56.5%,59.5%,53.5%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,1,Four-factor mixed-factors ANCOVA,606,< .001,,2,Mean discriminability rate (a* axis),53.8%,57.1%,50.5%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,1,Four-factor mixed-factors ANCOVA,606,< .001,,3,Mean discriminability rate (b* axis),58.4%,61.4%,55.4%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,2,Three-factor mixed-factors ANCOVA,211,< .03,,1,Accuracy difference between highest and lowest L* values,4.4%,6.6%,2.2%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,3,Four-factor ANCOVA,489,< .001,,1,Perceived size for shapes with greater visual density,78.68%,88.58%,68.78%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,3,Four-factor ANCOVA,489,< .001,,2,Perceived size for higher-order mQTons,46.93%,54.09%,39.77%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,3,Four-factor ANCOVA,489,< .001,,3,"Accuracy for larger fixed sizes (e.g., 50 pixels)",69.7%,70.7%,68.7%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,3,Four-factor ANCOVA,489,< .001,,4,"Accuracy for smaller fixed sizes (e.g., 6 pixels)",64.9%,66.0%,63.8%,Standard Error
10.1145/3290605.3300899,empirical studies in visualization;visualization;human-centered computing,4,Four-factor mixed effects ANCOVA,443,< .001,,1,Difference in shape discriminability between 50 pixel shapes and 6 pixel shapes,4.5%,5.5%,3.5%,Standard Error
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,1,Logistic Regression,UNKNOWN,0.0068,,1,Odds Ratio,1.26,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,1,Logistic Regression,UNKNOWN,0.0068,Inclusive Ad (image & text) vs Default,1,Odds Ratio,1.26,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,2,Logistic Regression,UNKNOWN,0.1157,,1,Odds Ratio,1.15,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,2,Logistic Regression,UNKNOWN,0.1157,Inclusive Text vs Default,1,Odds Ratio,1.15,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,3,Logistic Regression,UNKNOWN,0.4442,,1,Odds Ratio,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,3,Logistic Regression,UNKNOWN,0.4442,Inclusive Image vs Default,1,Odds Ratio,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,4,Logistic Regression,UNKNOWN,0.0165,,1,Odds Ratio,0.80,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,4,Logistic Regression,UNKNOWN,0.0165,Inclusive Text vs Default (Men),1,Odds Ratio,0.80,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,5,Logistic Regression,UNKNOWN,>0.39,,1,Odds Ratio,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,5,Logistic Regression,UNKNOWN,>0.39,Other Versions vs Default (Men),1,Odds Ratio,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,6,Difference-in-Difference,8644,<0.001,,1,DID estimate,3.88pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,6,Difference-in-Difference,8644,<0.001,Period 1,1,DID estimate,3.88pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,7,Difference-in-Difference,3611,0.039,,1,DID estimate,-2.35pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,7,Difference-in-Difference,3611,0.039,Period 2,1,DID estimate,-2.35pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,8,Difference-in-Difference,1390,0.013,,1,DID estimate,-2.09pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,8,Difference-in-Difference,1390,0.013,Period 3,1,DID estimate,-2.09pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,9,Difference-in-Difference,13645,<0.001,,1,DID estimate,2.71pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300704,information systems;applied computing;empirical studies in hci;human-centered computing,9,Difference-in-Difference,13645,<0.001,Pooled,1,DID estimate,2.71pp,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300798,"hci theory, concepts and models;human-centered computing;hci design and evaluation methods",1,Bonferroni corrected paired sample t-test,12,0.004,,1,t,3.66,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300798,"hci theory, concepts and models;human-centered computing;hci design and evaluation methods",2,Bonferroni corrected paired sample t-test,12,< 0.001,,1,t,4.72,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300798,"hci theory, concepts and models;human-centered computing;hci design and evaluation methods",3,Bonferroni corrected paired sample t-test,18,0.009,,1,t,3.10,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300913,accessibility design and evaluation methods;accessibility;human-centered computing;human computer interaction (hci),1,pairwise t-test,12,.00054,,1,improvement,20.2%,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300913,accessibility design and evaluation methods;accessibility;human-centered computing;human computer interaction (hci),2,pairwise t-test,12,.00028,,1,improvement,8.5%,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300913,accessibility design and evaluation methods;accessibility;human-centered computing;human computer interaction (hci),3,pairwise t-test,12,.032,,1,improvement,1.28%,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300913,accessibility design and evaluation methods;accessibility;human-centered computing;human computer interaction (hci),4,gesture recognition rate comparison,UNKNOWN,UNKNOWN,,1,improvement,39.2%,UNKNOWN,UNKNOWN,UNKNOWN
10.1145/3290605.3300913,accessibility design and evaluation methods;accessibility;human-centered computing;human computer interaction (hci),4,gesture recognition rate comparison,UNKNOWN,UNKNOWN,Tap,1,improvement,39.2%,UNKNOWN,UNKNOWN,UNKNOWN
