doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,N_found,test_p_value_found,effectsize_measure_found,effectsize_value_found,CI_upper_found,CI_lower_found,CI_type_found
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,3,One-way ANOVA,53,0.44,Pressure/Tension,1.0,F,0.83,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,4,One-way ANOVA,53,0.38,,1.0,F,0.99,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,4,One-way ANOVA,53,0.38,Interest/Enjoyment,1.0,F,0.99,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,5,One-way ANOVA,53,0.72,,1.0,F,0.33,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,5,One-way ANOVA,53,0.72,Effort,1.0,F,0.33,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,6,One-way ANOVA,53,0.44,,1.0,F,0.84,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,6,One-way ANOVA,53,0.44,Intrinsic Motivation (IM),1.0,F,0.84,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,7,One-way ANOVA,53,0.09,,1.0,F,2.52,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,7,One-way ANOVA,53,0.09,Extrinsic Motivation (EM),1.0,F,2.52,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,8,One-way ANOVA,53,0.64,,1.0,F,0.46,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,8,One-way ANOVA,53,0.64,Amotivation (AM),1.0,F,0.46,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,9,One-way ANOVA,53,0.03,,1.0,F,3.92,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,9,One-way ANOVA,53,0.03,Extrinsic Motivation - External Regulation,1.0,F,3.92,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,10,One-way ANOVA,53,0.34,,1.0,F,1.12,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445068,empirical studies in interaction design;interaction design;human-centered computing,10,One-way ANOVA,53,0.34,Change in Quiz Scores,1.0,F,1.12,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,1,Correlation Test,95,< 0.01,,1.0,Phi (ϕ),-0.301,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,2,Correlation Test,46,0.854,,1.0,r,0.028,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,3,Independent Samples t-test,46,0.854,,1.0,t,-0.185,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,4,Correlation Test,46,< 0.001,,1.0,r,0.540,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,5,Independent Samples t-test,46,0.000,,1.0,t,-4.256,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,6,Correlation Test,46,0.031,,1.0,Cramer's Phi,0.549,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,7,Accuracy Test for DeepFaceLab,46,UNKNOWN,,1.0,Accuracy,"43% (Control Initial), 39% (Treatment Initial), 30% (Control Final), 35% (Treatment Final), -13% (Absolute % Increase Control), -4% (Absolute % Increase Treatment)",UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,False,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,8,Accuracy Test for FF-DF,46,UNKNOWN,,1.0,Accuracy,"57% (Control Initial), 57% (Treatment Initial), 54% (Control Final), 87% (Treatment Final), -3% (Absolute % Increase Control), +30% (Absolute % Increase Treatment)",UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,False,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,9,Accuracy Test for Real Videos,46,UNKNOWN,,1.0,Accuracy,"70% (Control Initial), 74% (Treatment Initial), 75% (Control Final), 65% (Treatment Final), 5% (Absolute % Increase Control), -9% (Absolute % Increase Treatment)",UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,False,True,True,True
10.1145/3411764.3445699,human and societal aspects of security and privacy;security and privacy;computing methodologies,10,Accuracy Test for All Fake Videos,46,UNKNOWN,,1.0,Accuracy,"58% (Control Initial), 55% (Treatment Initial), 57% (Control Final), 88% (Treatment Final), -1% (Absolute % Increase Control), +33% (Absolute % Increase Treatment)",UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,False,True,True,True
10.1145/3411764.3445366,human-centered computing,1,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy,75,"< .001 for IER, < .0001 for Test, .99 for Interaction",,1.0,Generalized Eta-Squared (η²),0.047,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,1,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy,75,"< .001 for IER, < .0001 for Test, .99 for Interaction",,2.0,Generalized Eta-Squared (η²),0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,1,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy,75,< .001,IER,1.0,Generalized Eta-Squared (η²),0.047,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,1,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy,75,< .0001,Test,1.0,Generalized Eta-Squared (η²),0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,1,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy,75,.99,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,2,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,"< .0001 for Test, .41 for IER, .999 for Interaction",,1.0,Generalized Eta-Squared (η²),0.088,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,2,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,< .0001,Test,1.0,Generalized Eta-Squared (η²),0.088,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,2,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,.41,IER,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,2,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,.999,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,3,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,"< .0001 for IER, < .0001 for Block, .56 for Interaction",,1.0,Generalized Eta-Squared (η²),0.060,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,3,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,"< .0001 for IER, < .0001 for Block, .56 for Interaction",,2.0,Generalized Eta-Squared (η²),0.071,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,3,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,< .0001,IER,1.0,Generalized Eta-Squared (η²),0.060,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,3,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,< .0001,Block,1.0,Generalized Eta-Squared (η²),0.071,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,3,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,.56,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,4,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,"< .0001 for Block, .13 for IER, .54 for Interaction",,1.0,Generalized Eta-Squared (η²),0.19,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,4,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,< .0001,Block,1.0,Generalized Eta-Squared (η²),0.19,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,4,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,.13,IER,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,4,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,.54,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,5,One-Way ANOVA on Total Training Time,75,< .0001,,1.0,Generalized Eta-Squared (η²),0.23,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,5,One-Way ANOVA on Total Training Time,75,< .0001,IER,1.0,Generalized Eta-Squared (η²),0.23,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,6,One-Way ANOVAs on NASA TLX Scores,75,"< .05 for physical effort, temporal effort, and frustration",,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,False,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,6,One-Way ANOVAs on NASA TLX Scores,75,< .05,Physical Effort,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,6,One-Way ANOVAs on NASA TLX Scores,75,< .05,Temporal Effort,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,6,One-Way ANOVAs on NASA TLX Scores,75,< .05,Frustration,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,7,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,".99 for ease of learning, .29 for ease of memorization",,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,False,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,7,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,.99,Ease of Learning,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,7,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,.29,Ease of Memorization,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,8,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy in Memory Tests,75,"< .0001 for Test, .94 for IER, .91 for Interaction",,1.0,Generalized Eta-Squared (η²),0.13,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,8,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy in Memory Tests,75,< .0001,Test,1.0,Generalized Eta-Squared (η²),0.13,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,8,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy in Memory Tests,75,.94,IER,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,8,Repeated-Measures ANOVA (RM-ANOVA) on Accuracy in Memory Tests,75,.91,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,9,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,"< .001 for IER, < .0001 for Test, .88 for Interaction",,1.0,Generalized Eta-Squared (η²),0.078,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,9,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,"< .001 for IER, < .0001 for Test, .88 for Interaction",,2.0,Generalized Eta-Squared (η²),0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,9,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,< .001,IER,1.0,Generalized Eta-Squared (η²),0.078,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,9,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,< .0001,Test,1.0,Generalized Eta-Squared (η²),0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,9,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time in Memory Tests,75,.88,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,10,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,"< .001 for IER, .0104 for Block, .98 for Interaction",,1.0,Generalized Eta-Squared (η²),0.027,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,10,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,"< .001 for IER, .0104 for Block, .98 for Interaction",,2.0,Generalized Eta-Squared (η²),0.030,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,10,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,< .001,IER,1.0,Generalized Eta-Squared (η²),0.027,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,10,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,.0104,Block,1.0,Generalized Eta-Squared (η²),0.030,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,10,Repeated-Measures ANOVA (RM-ANOVA) on User Errors During Training,75,.98,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,11,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,"< .0001 for Block, .62 for IER, .97 for Interaction",,1.0,Generalized Eta-Squared (η²),0.048,UNKNOWN,UNKNOWN,UNKNOWN,True,False,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,11,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,< .0001,Block,1.0,Generalized Eta-Squared (η²),0.048,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,11,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,.62,IER,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,11,Repeated-Measures ANOVA (RM-ANOVA) on Completion Time During Training,75,.97,Interaction,1.0,Generalized Eta-Squared (η²),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,12,One-Way ANOVA on Total Training Time,75,< .0001,,1.0,Generalized Eta-Squared (η²),0.31,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,12,One-Way ANOVA on Total Training Time,75,< .0001,IER,1.0,Generalized Eta-Squared (η²),0.31,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445366,human-centered computing,13,One-Way ANOVAs on NASA TLX Scores,75,.028 for frustration,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,False,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,13,One-Way ANOVAs on NASA TLX Scores,75,.028,Frustration,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,14,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,".018 for ease of memorization, .82 for ease of learning",,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,False,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,14,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,.018,Ease of Memorization,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445366,human-centered computing,14,One-Way ANOVAs on Perceived Ease of Learning and Memorization,75,.82,Ease of Learning,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.001,,1.0,Adjusted R^2,0.642,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.001,M1: % Non-speech,1.0,Coefficient,-4.85,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.05,M2: % Low lexical density speech,1.0,Coefficient,-1.58,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.05,M3: Rate of shot changes,1.0,Coefficient,-1.66,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,UNKNOWN,M4: # Visual entities / min,1.0,Coefficient,-1.53,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.05,M5: % Visual entities not in speech,1.0,Coefficient,-1.78,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,UNKNOWN,M6: # Detected on-screen text / min,1.0,Coefficient,1.19,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,1,Linear Regression (Initial Model),55,< 0.01,M7: # Visual references / min,1.0,Coefficient,-2.09,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.001,,1.0,Adjusted R^2,0.635,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.001,M1: % Non-speech,1.0,Coefficient,-5.03,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.05,M2: % Low lexical density speech,1.0,Coefficient,-1.35,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.01,M3: Rate of shot changes,1.0,Coefficient,-1.95,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.05,M5: % Visual entities not in speech,1.0,Coefficient,-2.00,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,2,Linear Regression (Reduced Model),55,< 0.01,M7: # Visual references / min,1.0,Coefficient,-2.08,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,False,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,3,User Study (Task Time and Clicks),8,UNKNOWN,,1.0,Average Task Time (Original),6:20,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3411764.3445233,empirical studies in accessibility;accessibility;human-centered computing,3,User Study (Task Time and Clicks),8,UNKNOWN,,2.0,Average Task Time (Metrics),4:24,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
