doi,topics,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,N_found,test_p_value_found,effectsize_measure_found,effectsize_value_found,CI_upper_found,CI_lower_found,CI_type_found
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,2.0,Pearson's r,0.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,4,Regression Analysis (Model 2),341,<0.0001,,3.0,SMAPE,6.71,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,1.0,Coefficient (Freq. of Conflict Situations),0.59,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,2.0,Coefficient (Service Orientation),6.31,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,3.0,Coefficient (Recognition),24.10,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,4.0,Coefficient (Independence),-9.93,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,5.0,Coefficient (Responsibility for outcomes),0.89,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,6.0,Coefficient (Working Conditions),-8.58,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,7.0,Coefficient (Freq. Decision Making),-10.80,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,8.0,Coefficient (Enterprising),0.96,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,9.0,Coefficient (Monitoring Resources),0.80,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,5,Regression Analysis (Model 2) - IRB,341,UNKNOWN,,10.0,Coefficient (Initiative),-9.20,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,1.0,Coefficient (Adaptability/Flexibility),-49.92,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,2.0,Coefficient (Work Schedules),1.45,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,3.0,Coefficient (Face to Face Discussions),0.36,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,4.0,Coefficient (Importance of Being Exact),-0.46,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,5.0,Coefficient (Coaching Others),-37.43,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,6.0,Coefficient (Instructing),-36.56,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,7.0,Coefficient (Wk. w/ Work Group),-0.003,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,8.0,Coefficient (Conventional),-167.92,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,9.0,Coefficient (Support),-72.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376793,empirical studies in collaborative and social computing;collaborative and social computing;human-centered computing;social media;psychology;applied computing,6,Regression Analysis (Model 2) - OCB,341,UNKNOWN,,10.0,Coefficient (Maintain Relationships),75.35,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376705,human computer interaction (hci);human-centered computing;interaction devices,1,Kruskal–Wallis test,9,< 0.01,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376705,human computer interaction (hci);human-centered computing;interaction devices,2,Wilcoxon signed-rank test,9,< 0.001,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376705,human computer interaction (hci);human-centered computing;interaction devices,3,Steel–Dwass test,7,< 0.001,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376705,human computer interaction (hci);human-centered computing;interaction devices,4,Descriptive Statistics,9,UNKNOWN,,1.0,Mean ± SD,2.59 ± 0.34,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376705,human computer interaction (hci);human-centered computing;interaction devices,5,Descriptive Statistics,9,UNKNOWN,,1.0,Mean ± SD,2.38 ± 0.69,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376390,interactive systems and tools;human-centered computing,1,Chi-squared test,52,0.81,,1.0,Chi-squared,0.98,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376390,interactive systems and tools;human-centered computing,2,Mann-Whitney U Test,UNKNOWN,0.26,,1.0,U,23.5,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376390,interactive systems and tools;human-centered computing,3,t-test,16,0.91,,1.0,t,0.12,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,1,Mann Whitney U test,360,< 0.0001,,1.0,r,.28,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,1,Mann Whitney U test,360,< 0.0001,awareness of CA/FB,1.0,r,.28,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,2,Mann Whitney U test,360,<.03,,1.0,r,.14,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,2,Mann Whitney U test,360,<.03,awareness of CA/FB,1.0,r,.14,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,3,Mann Whitney U test,360,.04,,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,3,Mann Whitney U test,360,.04,awareness of CA/FB,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,4,Mann Whitney U test,360,.04,,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,4,Mann Whitney U test,360,.04,awareness of CA/FB,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,5,Mann Whitney U test,360,.04,,1.0,r,.14,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,5,Mann Whitney U test,360,.04,awareness of CA/FB,1.0,r,.14,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,6,Mann Whitney U test,360,<.001,,1.0,r,.21,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,6,Mann Whitney U test,360,<.001,awareness of CA/FB,1.0,r,.21,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,7,Mann Whitney U test,360,<.01,,1.0,r,.17,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,7,Mann Whitney U test,360,<.01,awareness of CA/FB,1.0,r,.17,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,8,Mann Whitney U test,360,.06,,1.0,r,.10,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,8,Mann Whitney U test,360,.06,awareness of CA/FB,1.0,r,.10,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,9,Mann Whitney U test,360,.06,,1.0,r,.09,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,9,Mann Whitney U test,360,.06,awareness of CA/FB,1.0,r,.09,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,10,Mann Whitney U test,360,.04,,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,10,Mann Whitney U test,360,.04,awareness of CA/FB,1.0,r,.13,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,11,Mann Whitney U test,360,<.01,,1.0,r,.16,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,11,Mann Whitney U test,360,<.01,awareness of CA/FB,1.0,r,.16,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,12,Mann Whitney U test,360,<.01,,1.0,r,.17,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,12,Mann Whitney U test,360,<.01,awareness of CA/FB,1.0,r,.17,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,13,Mann Whitney U test,360,<.001,,1.0,r,.22,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376662,collaborative and social computing;human-centered computing,13,Mann Whitney U test,360,<.001,awareness of CA/FB,1.0,r,.22,UNKNOWN,UNKNOWN,UNKNOWN,False,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,1,Regression Analysis on Main Effects of Power Usage,90,< .02,,1.0,b,0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,2,Regression Analysis on Smart Speaker Usage Frequency and Perceived Usability,90,.06,,1.0,b,0.11,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,3,Regression Analysis on Privacy Concerns and Trust Toward Alexa,90,.02,,1.0,b,0.20,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,4,Moderation Effect of Privacy Concerns with Content Customization on Perceived Usability,90,.07,,1.0,b,0.13,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,5,Three-Way Interaction on Content Credibility,90,.03,,1.0,b,0.15,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,6,Interaction Effect of Power Usage with Privacy Setting Customization on Trust Toward Alexa,90,.07,,1.0,b,0.22,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,7,Moderation Effect of Power Usage on Perceived Usability,90,.03,,1.0,b,0.21,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,8,Logistic Regression on Recent Voice Recording Deletion Choices (Privacy Concerns),45,.07,,1.0,Exp(b),1.72,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376551,usability in security and privacy;security and privacy,9,Logistic Regression on Recent Voice Recording Deletion Choices (Power Usage),45,.07,,1.0,Exp(b),0.49,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,1,ANOVA,125,0.05,,1.0,η²,0.02,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,1,ANOVA,125,0.05,participant gender × avatar gender × threat,1.0,η²,0.02,UNKNOWN,UNKNOWN,UNKNOWN,True,True,False,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,2,Post-hoc analysis (Saccade Latency),125,0.70,,1.0,estimate,4.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,2,Post-hoc analysis (Saccade Latency),125,0.70,Female-FNT,1.0,estimate,4.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,3,Post-hoc analysis (Saccade Latency),125,0.05,,1.0,estimate,22.94,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,3,Post-hoc analysis (Saccade Latency),125,0.05,Female-FST,1.0,estimate,22.94,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,4,Post-hoc analysis (Saccade Latency),125,0.80,,1.0,estimate,-2.83,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,4,Post-hoc analysis (Saccade Latency),125,0.80,Female-MNT,1.0,estimate,-2.83,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,5,Post-hoc analysis (Saccade Latency),125,0.10,,1.0,estimate,18.35,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,5,Post-hoc analysis (Saccade Latency),125,0.10,Female-MST,1.0,estimate,18.35,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,6,Post-hoc analysis (Saccade Latency),125,0.17,,1.0,estimate,15.44,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,6,Post-hoc analysis (Saccade Latency),125,0.17,Male-FNT,1.0,estimate,15.44,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,7,Post-hoc analysis (Saccade Latency),125,0.01,,1.0,estimate,29.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,7,Post-hoc analysis (Saccade Latency),125,0.01,Male-FST,1.0,estimate,29.41,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,8,Post-hoc analysis (Saccade Latency),125,0.01,,1.0,estimate,28.16,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,8,Post-hoc analysis (Saccade Latency),125,0.01,Male-MNT,1.0,estimate,28.16,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,9,Post-hoc analysis (Saccade Latency),125,0.74,,1.0,estimate,3.76,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,9,Post-hoc analysis (Saccade Latency),125,0.74,Male-MST,1.0,estimate,3.76,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,10,Post-hoc analysis (N-Back Accuracy),125,0.0003,,1.0,estimate,0.17,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,10,Post-hoc analysis (N-Back Accuracy),125,0.0003,Female-Anti-1st,1.0,estimate,0.17,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,11,Post-hoc analysis (N-Back Accuracy),125,0.06,,1.0,estimate,0.08,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,11,Post-hoc analysis (N-Back Accuracy),125,0.06,Female-Anti-2nd,1.0,estimate,0.08,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,12,Post-hoc analysis (N-Back Accuracy),125,0.21,,1.0,estimate,0.06,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,12,Post-hoc analysis (N-Back Accuracy),125,0.21,Female-Pro-1st,1.0,estimate,0.06,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,13,Post-hoc analysis (N-Back Accuracy),125,0.26,,1.0,estimate,0.05,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,13,Post-hoc analysis (N-Back Accuracy),125,0.26,Female-Pro-2nd,1.0,estimate,0.05,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,14,Post-hoc analysis (N-Back Accuracy),125,0.48,,1.0,estimate,-0.03,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,14,Post-hoc analysis (N-Back Accuracy),125,0.48,Male-Anti-1st,1.0,estimate,-0.03,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,15,Post-hoc analysis (N-Back Accuracy),125,0.72,,1.0,estimate,0.02,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,15,Post-hoc analysis (N-Back Accuracy),125,0.72,Male-Anti-2nd,1.0,estimate,0.02,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,16,Post-hoc analysis (N-Back Accuracy),125,0.05,,1.0,estimate,-0.09,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,16,Post-hoc analysis (N-Back Accuracy),125,0.05,Male-Pro-1st,1.0,estimate,-0.09,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,17,Post-hoc analysis (N-Back Accuracy),125,0.82,,1.0,estimate,-0.01,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376419,virtual reality;human-centered computing;user studies;psychology;applied computing,17,Post-hoc analysis (N-Back Accuracy),125,0.82,Male-Pro-2nd,1.0,estimate,-0.01,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376843,user studies;human-centered computing;computing methodologies,1,Logistic Regression on Donation,790,<0.01,,1.0,β,0.44,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376843,user studies;human-centered computing;computing methodologies,1,Logistic Regression on Donation,790,<0.01,Perceived Identity,1.0,β,0.44,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376843,user studies;human-centered computing;computing methodologies,1,Logistic Regression on Donation,790,<0.05,Interaction between Personal Inquiry and Perceived Identity,1.0,β,1.02,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376843,user studies;human-centered computing;computing methodologies,2,t-test on Donation Probability (Personal Inquiries),UNKNOWN,<0.01,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
10.1145/3313831.3376843,user studies;human-centered computing;computing methodologies,3,t-test on Donation Probability (Both Inquiries),UNKNOWN,<0.05,,1.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,True,True,True,True,True
