doi,test_id,test_name,N,test_p_value,factor,effectsize_id,effectsize_measure,effectsize_value,CI_upper,CI_lower,CI_type,test_name_correct,ES_correct,ES_name_correct,p_vals_correct,Ns_correct,Cis.correct,fully_correct,added_info,added_undectably_wrong_info,missing,double.reported,format_error,problem_reason,done
10.1145/3290605.3300678,11,Pairwise t-test (with Bonferroni Adjustment),18,>0.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,12,Pairwise t-test (with Bonferroni Adjustment),18,>0.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,13,ANOVA,18,<.001,,1,,,,,,1,,,1,1,,,test statistics + descriptives added (in extra factors),,,,,,done
10.1145/3290605.3300678,14,Pairwise t-test (with Bonferroni Adjustment),18,<.005,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,15,Pairwise t-test (with Bonferroni Adjustment),18,0.13,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,16,Pairwise t-test (with Bonferroni Adjustment),18,<.005,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,17,ANOVA,18,.003,,1,,,,,,1,,,1,1,,,test statistics + descriptives added (in extra factors),,,,,,done
10.1145/3290605.3300678,18,Pairwise t-test (with Bonferroni Adjustment),18,0.39,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,19,Pairwise t-test (with Bonferroni Adjustment),18,>0.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,20,Pairwise t-test (with Bonferroni Adjustment),18,>0.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,21,ANOVA,18,<.001,,1,,,,,,1,,,1,1,,,test statistics + descriptives added (in extra factors),,,,,,done
10.1145/3290605.3300678,22,Pairwise t-test (with Bonferroni Adjustment),18,<.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,23,Pairwise t-test (with Bonferroni Adjustment),18,<.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,24,Pairwise t-test (with Bonferroni Adjustment),18,<.05,,1,,,,,,,,,,,,,,,1,,,only summary + some p-values in text,done
10.1145/3290605.3300678,25,ANOVA,18,.924,,1,,,,,,1,,,1,1,,,"descriptive stats (added in extrac factors, too)",,,,,,done
10.1145/3290605.3300678,26,ANOVA,18,.004,,1,,,,,,1,,,1,1,,,,,,,,"26, 27, 28, 29 recognized as one test",done
10.1145/3290605.3300678,27,ANOVA,18,<.001,,1,,,,,,1,,,1,1,,,,,,,,"26, 27, 28, 29 recognized as one test",done
10.1145/3290605.3300678,28,ANOVA,18,<.001,,1,,,,,,1,,,1,1,,,,,,,,"26, 27, 28, 29 recognized as one test",done
10.1145/3290605.3300678,29,ANOVA,18,<.001,,1,,,,,,1,,,1,1,,,,,,,,"26, 27, 28, 29 recognized as one test",done
10.1145/3290605.3300678,,,,,,,,,,,,,,,,,,,test added (Wizard-of-Oz experiment),,,,,,done
10.1145/3313831.3376154,1,paired t-test,4,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,2,paired t-test,3,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,3,paired t-test,4,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,4,paired t-test,3,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,5,paired t-test,7,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,6,paired t-test,7,>.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,7,paired t-test,7,>.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,8,paired t-test,7,<.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376154,9,paired t-test,3,>.05,,1,,,,,,0.5,,,1,0,,,1,,,,,Full test name not reported explicitly,done
10.1145/3313831.3376360,1,Kruskal-Wallis ANOVA,71,p<.001,,1,,,,,,1,,,1,1,,,Added post hoc tests as factors,,,,,,done
10.1145/3313831.3376360,2,post-hoc test adjusted using the Benjamini & Hochberg method,38,.021,,1,r,.43,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,3,post-hoc test adjusted using the Benjamini & Hochberg method,34,.035,,1,r,.37,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,4,post-hoc test adjusted using the Benjamini & Hochberg method,37,.000,,1,r,.82,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,5,post-hoc test adjusted using the Benjamini & Hochberg method,37,.027,,1,r,.39,,,,,,,,,,,,,1,,,unclear,done
10.1145/3313831.3376360,6,post-hoc test adjusted using the Benjamini & Hochberg method,33,.022,,1,r,.45,,,,,,,,,,,,,1,,,unclear,done
10.1145/3313831.3376360,7,Kruskal-Wallis ANOVA,71,.003,,1,,,,,,1,,0,1,1,,,Added post hoc tests as factors,,,,,,done
10.1145/3313831.3376360,8,post-hoc tests adjusted using the Benjamini & Hochberg method,38,.598,,1,,,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,9,post-hoc tests adjusted using the Benjamini & Hochberg method,34,.006,,1,r,-0.57,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,10,post-hoc tests adjusted using the Benjamini & Hochberg method,37,.042,,1,r,-0.38,,,,0,1,1,1,0,,,,,,,,,done
10.1145/3313831.3376360,11,post-hoc tests adjusted using the Benjamini & Hochberg method,37,.108,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376360,12,post-hoc tests adjusted using the Benjamini & Hochberg method,33,.338,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376360,13,Kruskal-Wallis ANOVA,71,<.001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376360,14,Kruskal-Wallis ANOVA,71,<.001,,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376360,15,post-hoc tests adjusted using the Benjamini & Hochberg method,37,<.001,,1,r,-0.82,,,,0,0.5,1,1,0,,,,,,1,,minus missing in es_value,done
10.1145/3313831.3376360,16,post-hoc tests adjusted using the Benjamini & Hochberg method,33,.006,,1,r,.55,,,,0,1,1,1,0,,,,,,1,,,done
10.1145/3313831.3376360,17,post-hoc tests adjusted using the Benjamini & Hochberg method,37,<.036,,1,r,.37,,,,0,1,1,0.5,0,,,,,,1,,,done
10.1145/3313831.3376360,18,post-hoc tests adjusted using the Benjamini & Hochberg method,37,<.001,,1,r,-0.65,,,,0,0.5,1,1,0,,,,,,1,,minus missing in es_value,done
10.1145/3313831.3376360,19,post-hoc tests adjusted using the Benjamini & Hochberg method,33,<.001,,1,r,.63,,,,0,1,1,1,0,,,,,,1,,,done
10.1145/3313831.3376360,20,post-hoc tests adjusted using the Benjamini & Hochberg method,37,>0.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376360,21,one-sample t-test,15,<.001,,1,d,1.06,,,,1,,,,,,1,,,,1,,reported two tests as one,done
10.1145/3313831.3376360,22,one-sample t-test,15,<.001,,1,d,1.84,,,,1,,,,,,1,,,,1,,reported as sentence with few numbers,done
10.1145/3313831.3376360,23,Kruskal-Wallis ANOVA,71,.433,,1,,,,,,1,,,1,1,,,effectsize_measure,,,1,,reported multiple tests as one,done
10.1145/3313831.3376360,24,Kruskal-Wallis ANOVA,71,.998,,1,,,,,,1,,,1,1,,,effectsize_measure,,,,,reported multiple tests as one,done
10.1145/3313831.3376360,25,Kruskal-Wallis ANOVA,71,.901,,1,,,,,,1,,,1,1,,,effectsize_measure,,,,,,done
10.1145/3313831.3376360,26,Kruskal-Wallis ANOVA,71,.524,,1,,,,,,1,,,1,1,,,effectsize_measure,,,,,,done
10.1145/3313831.3376512,1,paired Student's t-test,10,<0.01,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,2,paired Student's t-test,10,<0.01,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,3,paired Student's t-test,10,>0.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,4,two way repeated measure ANOVA main effect,13,,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,4,two way repeated measure ANOVA main effect,13,<.0001,main effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,4,two way repeated measure ANOVA main effect,13,<.01,main effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,4,two way repeated measure ANOVA main effect,13,0.55,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376512,,,,,,,,,,,,,,,,,,,„experiment design“ tests like „Human Perception Bandwidth Pilot Study“,,,,,,done
10.1145/3313831.3376707,1,Shapiro-Wilk test,,<.05,,1,,,,,,1,,,1,,,1,,,,,,,done
10.1145/3313831.3376707,2,Wilcoxon-Signed rank test,16,<.001,,1,,,,,,1,,,,,,1,,,,,,,done
10.1145/3313831.3376707,3,Wilcoxon-Signed rank test,16,<.001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376707,4,Shapiro-Wilk test,12,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376707,5,t-test,12,<.001,,1,d,1531,,,,1,1,,1,,,1,,,,,,,done
10.1145/3313831.3376707,6,t-test,12,<.001,,1,d,758,,,,1,1,,1,,,1,,,,,,,done
10.1145/3313831.3376772,1,repeated measures ANOVA,12,<.001,,1,η^2_G,.007,,,,1,,,,,,1,,,,1,,double reported as factor,done
10.1145/3313831.3376772,2,repeated measures ANOVA,12,<.01,,1,η^2_G,.1,,,,1,,,,,,1,,,,,,,done
10.1145/3313831.3376772,3,post hoc paired t-test,12,<0.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,4,post hoc paired t-test,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,5,post hoc paired t-test,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,6,Aligned Rank Transform (ART) based ANOVA main effect,12,,,1,,,,,,1,,,,,,1,,,,,,,done
10.1145/3313831.3376772,6,Aligned Rank Transform (ART) based ANOVA main effect,12,<.0001,main effect,1,,,,,,1,,,,,,1,,,,1,,double reported as factor,done
10.1145/3313831.3376772,6,Aligned Rank Transform (ART) based ANOVA main effect,12,>0.05,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,7, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,8, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,9,linear mixed effects (LMM) ANOVA,12,,,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376772,9,linear mixed effects (LMM) ANOVA,12,<.0001,main effect,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376772,9,linear mixed effects (LMM) ANOVA,12,>0.05,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,10,paired t-test,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,11,paired t-test,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,12,paired t-test,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,13,Aligned Rank Transform (ART) based ANOVA,12,,,1,,,,,,1,,,,1,,1,,,,,,,done
10.1145/3313831.3376772,13,Aligned Rank Transform (ART) based ANOVA,12,<.0001,main effect,1,,,,,,1,,,,1,,1,,,,,,,done
10.1145/3313831.3376772,13,Aligned Rank Transform (ART) based ANOVA,12,>0.05,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,14, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,15, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,<.0001,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,16, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,<.01,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,17,Aligned Rank Transform (ART) based ANOVA main effect,12,,,1,,,,,,1,,,1,1,,1,,,,,,,done
10.1145/3313831.3376772,17,Aligned Rank Transform (ART) based ANOVA main effect,12,<.0001,main effect,1,,,,,,1,,,1,1,,1,,,,,,,done
10.1145/3313831.3376772,17,Aligned Rank Transform (ART) based ANOVA main effect,12,<.0001,main effect,1,,,,,,1,,,1,1,,1,,,,,,,done
10.1145/3313831.3376772,17,Aligned Rank Transform (ART) based ANOVA main effect,12,<.0001,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,18, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,<.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,19, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,<.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,20, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,21, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,22, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,23, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,24, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,25, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,26, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,27, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,28, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,29, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,30, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,31, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,32, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,33, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,34, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,35, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,36, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,37, Wilcoxon signed rank test corrected using Holm's sequential Bonferroni procedure,12,not significant,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,38,Kruskal-Wallis test,32,>0.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,39,Kruskal-Wallis test,32,>0.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,40,Kruskal-Wallis test,32,<.05,,1,,,,,,1,,,1,1,,1,,,,,,,done
10.1145/3313831.3376772,41,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,<.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,42,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,43,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,44,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,45,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,46,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,>.05,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,47,repeated measures ANOVA on log transformed data,32,,,1,,,,,,0.5,,,0,1,,,,,,,,omitted repeated measures in name,done
10.1145/3313831.3376772,47,repeated measures ANOVA on log transformed data,32,>.05,main effect,1,,,,,,0.5,,,0,1,,,,,,,,,done
10.1145/3313831.3376772,47,repeated measures ANOVA on log transformed data,32,>.05,main effect,1,,,,,,0.5,,,0,1,,,,,,,,,done
10.1145/3313831.3376772,47,repeated measures ANOVA on log transformed data,32,>.05,interaction effect,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,48,Aligned Rank Transform (ART) based ANOVA main effect,32,,,1,,,,,,1,,,,1,,,,,,,,,done
10.1145/3313831.3376772,48,Aligned Rank Transform (ART) based ANOVA main effect,32,<.0001,main effect,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376772,48,Aligned Rank Transform (ART) based ANOVA main effect,32,<.01,main effect,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376772,48,Aligned Rank Transform (ART) based ANOVA main effect,32,<.001,interaction effect,1,,,,,,1,,,1,1,,,,,,,,,done
10.1145/3313831.3376772,49,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,<.01,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,50,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,<.01,,1,,,,,,,,,,,,,,,1,,,,done
10.1145/3313831.3376772,51,Mann-Whitney U test corrected with Holm's sequential Bonferroni procedure,16,<.05,,1,,,,,,,,,,,,,,,1,,,,done
