effectsize_measure,of_interest
95% CI,not_relevant
Odds Ratio (OR),yes
Correlation Coefficient,check test
R^2,yes
slope,not_relevant
Correlation coefficient,check test
Cohen's D,yes
F,not_relevant
Z,not_relevant
r_s,maybe
χ²,not_relevant
Chi-squared,not_relevant
b,not_relevant
Chi-square statistic,not_relevant
Chi-square,not_relevant
Estimate,not_relevant
AUC,not_relevant
"Feature Importance (Thread, Culture Agnostic)",not_relevant
"Feature Importance (Thread, Indian)",not_relevant
"Feature Importance (Post, Culture Agnostic)",not_relevant
"Feature Importance (Post, Indian)",not_relevant
η2,yes
χ2,not_relevant
cor,check test
Median Task Time (Baseline),not_relevant
Median Task Time (BO),not_relevant
Median Task Time (Batch 1),not_relevant
Median Task Time (Batch 2),not_relevant
Median Task Time (Batch 3),not_relevant
ρ,yes
Mean (SD),not_relevant
Accuracy (Hand),not_relevant
TTR (Hand),not_relevant
Re-stim (Hand),not_relevant
Accuracy (Forearms),not_relevant
TTR (Forearms),not_relevant
Re-stim (Forearms),not_relevant
Accuracy (Post-Training),not_relevant
TTR (Post-Training),not_relevant
Re-stim (Post-Training),not_relevant
Accuracy (Recall),not_relevant
TTR (Recall),not_relevant
Re-stim (Recall),not_relevant
Accuracy,not_relevant
Re-stim,not_relevant
Mean,not_relevant
Percentage,not_relevant
W,not_relevant
Cramer's V,yes
Standardized Residual,not_relevant
U,not_relevant
Mean Difference,not_relevant
Distinguishability,not_relevant
Kappa,not_relevant
d,yes
regression coefficient,not_relevant
R²,yes
estimate,not_relevant
Deviance,not_relevant
Krippendorff's α,not_relevant
Mean Time (s),not_relevant
Correct Detection Rate,not_relevant
Detection Rate,not_relevant
Ease of Use,not_relevant
Natural Look,not_relevant
Comfort,not_relevant
Unobtrusiveness,not_relevant
VG,not_relevant
Percentage of relevant responses,not_relevant
Percentage of valid interactions,not_relevant
WPM,not_relevant
UER,not_relevant
CER,not_relevant
Speed (WPM),not_relevant
ηp²,yes
WPM (Novice),not_relevant
WPM (Expert),not_relevant
UER% (Novice),not_relevant
UER% (Expert),not_relevant
ηp2,yes
M,not_relevant
B,not_relevant
η² (eta squared),yes
Mean Accuracy,not_relevant
mean fixation duration (real images),not_relevant
mean fixation duration (mental images),not_relevant
mean number of fixations (encoding),not_relevant
mean number of fixations (recall),not_relevant
AUC (distance measure),not_relevant
AUC (CNN),not_relevant
"AUC (distance measure, recall)",not_relevant
"AUC (CNN, recall)",not_relevant
"AUC (EMD, all observers)",not_relevant
"AUC (EMD, same observer)",not_relevant
"AUC (CNN, all observers)",not_relevant
"AUC (CNN, same observer)",not_relevant
η_p^2,yes
Understanding,not_relevant
Expression,not_relevant
Usefulness,not_relevant
Kru,not_relevant
Mean difference (low),not_relevant
Mean difference (high),not_relevant
Pearson's r (overall),yes
Pearson's r (significant asymmetric transfer),yes
Pearson's r (no significant effect),yes
Tukey HSD post hoc pairwise comparisons,not_relevant
Q,not_relevant
Post hoc tests,not_relevant
Tukey HSD post hoc tests,not_relevant
Time difference,not_relevant
Success difference,not_relevant
z,not_relevant
H,not_relevant
κ,not_relevant
Chi-Square,not_relevant
Regression Coefficient,not_relevant
rs,check test
δ,not_relevant
mean standard deviation in y-direction,not_relevant
mean standard deviation in x-direction,not_relevant
mean input speed for i'sFree,not_relevant
mean input speed for eyes-free baseline,not_relevant
mean input speed for eyes-on baseline,not_relevant
mean gesturing speed for i'sFree,not_relevant
mean gesturing speed for eyes-free baseline,not_relevant
mean gesturing speed for eyes-on baseline,not_relevant
mean word error rate for i'sFree,not_relevant
mean word error rate for eyes-free baseline,not_relevant
mean word error rate for eyes-on baseline,not_relevant
mean backspace to word ratio for i'sFree,not_relevant
mean backspace to word ratio for eyes-free baseline,not_relevant
mean backspace to word ratio for eyes-on baseline,not_relevant
mean duration for i'sFree,not_relevant
mean duration for eyes-free baseline,not_relevant
mean mental demand for i'sFree,not_relevant
mean mental demand for eyes-free baseline,not_relevant
mean mental demand for eyes-on baseline,not_relevant
Cramér's V,yes
Pseudo R² (McFadden),no
Pseudo R² (Nagelkerke),no
Difference in means,not_relevant
Regression Coefficient (β),not_relevant
Cohen's kappa,not_relevant
Growth rate r,not_relevant
C0,not_relevant
C∞,not_relevant
Pearson's r,yes
Mean difference,not_relevant
Mean (KM),not_relevant
Mean (SKM),not_relevant
Standard Deviation (KM),not_relevant
Standard Deviation (SKM),not_relevant
SUS,not_relevant
T value,not_relevant
Spearman correlation coefficient,yes
Pearson correlation coefficient,yes
percentage,not_relevant
Adjusted R²,maybe
#s,not_relevant
#p,not_relevant
#c,not_relevant
η²p,yes
Count,not_relevant
Mean (M) and Standard Deviation (SD),not_relevant
duration,not_relevant
retweet duration,not_relevant
reply rate,not_relevant
retweet rate,not_relevant
reply duration,not_relevant
Growth Rate,not_relevant
Pearson's R,yes
ω (omega),maybe
Mean (M),not_relevant
Standard Deviation (SD),not_relevant
Median (Mdn),not_relevant
Minimum (Min),not_relevant
Maximum (Max),not_relevant
Sum,not_relevant
log KL divergence (KLD),not_relevant
"
η_p^2",yes
η_G^2,yes
Mean Rating,not_relevant
B (Regression Coefficient),not_relevant
r (Correlation Coefficient),yes
Partial Eta Squared (η_p^2),yes
Chi-Squared (χ²),not_relevant
Delta (δ),not_relevant
Security Score,not_relevant
Secure,not_relevant
Mean Amplitude (degrees),not_relevant
Percentage Difference,not_relevant
βx= 0,not_relevant
βx= 1,not_relevant
βx= 2,not_relevant
βx= 3,not_relevant
βx= 4,not_relevant
βy= 0,not_relevant
βy= 1,not_relevant
βy= 2,not_relevant
βy= 3,not_relevant
βy= 4,not_relevant
CSI Score,not_relevant
mean gaze estimation error (Tobii EyeX),not_relevant
mean gaze estimation error (MPIIFaceGaze),not_relevant
mean gaze estimation error (GazeML),not_relevant
t-value,not_relevant
Precision,not_relevant
Recall,not_relevant
F-score,not_relevant
f,maybe
OR,yes
Percentage Increase in Friends,not_relevant
Hazard Ratio (HR),not_relevant
Transition Probability,not_relevant
F1 Score,not_relevant
ROC AUC,not_relevant
F1 Score Difference,not_relevant
ROC AUC Difference,not_relevant
Mean Difference (What.Hack vs Anti Phishing Phil),not_relevant
Mean Difference (What.Hack vs PhishLine),not_relevant
Mean Difference (Anti Phishing Phil vs PhishLine),not_relevant
Proportion,not_relevant
mean,not_relevant
difference,not_relevant
AR,not_relevant
Total Proposals,not_relevant
Distinct Proposals,not_relevant
MM%,not_relevant
Max-Consensus (Cm),not_relevant
Consensus-Distinct (Cd),not_relevant
Distance (SE),not_relevant
Time (SE),not_relevant
Success Rate (SE),not_relevant
Accuracy (SE),not_relevant
Proportion of successful blends,not_relevant
Average number of brainstormed items,not_relevant
Average number of images found,not_relevant
Number of good blends per concept pair,not_relevant
partial η²,yes
Mean (Base),not_relevant
Mean (RDF),not_relevant
Mean (ACF),not_relevant
median (focused),not_relevant
median (open),not_relevant
"Mean (Neuroscience, Animation-based)",not_relevant
"SD (Neuroscience, Animation-based)",not_relevant
"Mean (Neuroscience, Text-based)",not_relevant
"SD (Neuroscience, Text-based)",not_relevant
t(97) (Neuroscience),not_relevant
"Mean (Binary, Animation-based)",not_relevant
"SD (Binary, Animation-based)",not_relevant
"Mean (Binary, Text-based)",not_relevant
"SD (Binary, Text-based)",not_relevant
t(97) (Binary),not_relevant
Mean (High Mental-Effort),not_relevant
SD (High Mental-Effort),not_relevant
Mean (Low Mental-Effort),not_relevant
SD (Low Mental-Effort),not_relevant
t(45),not_relevant
Slope,not_relevant
t(93) (Binary Integers),not_relevant
t(93) (D-To-B),not_relevant
t(93) (Binary Addition),not_relevant
"t(92) (Two's Complement, m1)",not_relevant
"t(90) (Two's Complement, m2)",not_relevant
ICC2k,not_relevant
SD,not_relevant
Std,not_relevant
MSE,not_relevant
Decrease in stride length per level of auditory realism,not_relevant
Increase in TCT per level of auditory realism,not_relevant
Quadratic effect on TCT,not_relevant
Effect on head height,not_relevant
Effect on proportion of cautious stepping,not_relevant
N. opt.,not_relevant
N. lim.,not_relevant
RMSE,not_relevant
eta squared,yes
Difference of Means,not_relevant
Error Rate Difference,not_relevant
S (Saved),not_relevant
D (Discarded),not_relevant
SbS (Step-by-Step explanation used),not_relevant
L (Loop),not_relevant
I (Inconsistency),not_relevant
R (Redundancy),not_relevant
Total,not_relevant
Mean (Ear Touch),not_relevant
SD (Ear Touch),not_relevant
Mean (Finger Touch),not_relevant
SD (Finger Touch),not_relevant
Partial Eta Squared,yes
F1,not_relevant
Example Queries,not_relevant
R,check test
Mean (Females),not_relevant
Mean (Males),not_relevant
Frequency of 'precise',not_relevant
Frequency of 'imprecise',not_relevant
Frequency of 'untrustworthy',not_relevant
Frequency of 'inexpensive',not_relevant
Frequency of 'weak',not_relevant
Frequency of 'smooth',not_relevant
Frequency of 'pleasant',not_relevant
Frequency of 'strong',not_relevant
Correlation with annoyance,check test
Correlation with roughness,check test
Correlation with pleasantness,check test
Correlation with preference,check test
Correlation with spectral spread,check test
Correlation with strength,check test
Correlation with irregularity,check test
Correlation with spectral centroid,check test
Coefficient a,not_relevant
Coefficient b,not_relevant
Coefficient c,not_relevant
Coefficient d,not_relevant
Coefficient e,not_relevant
Coefficient f,not_relevant
Median,not_relevant
Difference in Accuracy,not_relevant
p,not_relevant
mean ± SEM,not_relevant
Log time,not_relevant
Log total time,not_relevant
Log daily time,not_relevant
Estimated Coefficient,not_relevant
Correlation Coefficient (r),not_relevant
AUC (ALL),not_relevant
AUC (IC),not_relevant
AUC (AC),not_relevant
Beta,not_relevant
Average Rating (SD),not_relevant
Pre-Study,not_relevant
Post-Interaction,not_relevant
One-Week,not_relevant
Neutral,not_relevant
Curious,not_relevant
Curious+Reveal,not_relevant
Incidence Rate Ratio,not_relevant
Z-Score,not_relevant
odds ratio,yes
Generalization Error (°),not_relevant
Error (°),not_relevant
5-pixel error (%),not_relevant
Inference Time (ms),not_relevant
Mean Error,not_relevant
Median Time,not_relevant
Median Error,not_relevant
r²,check test
Increase in RT per hour,not_relevant
Increase in RT per blink/min,not_relevant
X^2,not_relevant
Reading Speed Increase,not_relevant
Reading Speed Decrease,not_relevant
Readability Rating,not_relevant
Classical Aesthetics Rating,not_relevant
Expressive Aesthetics Rating,not_relevant
Intercept,not_relevant
Reader View Effect,not_relevant
Dyslexia (diagnosed) Effect,not_relevant
Dyslexia (self-diagnosed) Effect,not_relevant
RV × Dys (diagnosed) Interaction Effect,not_relevant
RV × Dys (self-diagnosed) Interaction Effect,not_relevant
Screenshot Width Effect,not_relevant
Word Count Effect,not_relevant
Age Effect,not_relevant
Native English Speaker Effect,not_relevant
Difference,not_relevant
Difference in Aptness,not_relevant
Difference in Specificity,not_relevant
Difference in Imageability,not_relevant
T,not_relevant
Points,not_relevant
GroupMean,not_relevant
GroupSD,not_relevant
GroupSize=20,not_relevant
GroupSize=50,not_relevant
R-squared,yes
GroupMean*GroupSD,not_relevant
GroupMean*GroupSize=20,not_relevant
GroupMean*GroupSize=50,not_relevant
GroupSD*GroupSize=20,not_relevant
GroupSD*GroupSize=50,not_relevant
GroupMean*GroupSD*GroupSize=20,not_relevant
GroupMean*GroupSD*GroupSize=50,not_relevant
Points2,not_relevant
GrpMean*GrpSD*GrpSize=20,not_relevant
GrpMean*GrpSD*GrpSize=50,not_relevant
Standard Deviation,not_relevant
Standardized Coefficient Beta,not_relevant
Coeff (SE),not_relevant
Mean (Pincher),not_relevant
Mean (Dragger),not_relevant
Mean (Presser),not_relevant
Effect Size (Pincher),not_relevant
Effect Size (Dragger),not_relevant
Effect Size (Presser),not_relevant
Partial η²,yes
ω²,yes
r^2,yes
Spearman's rho,yes
adjusted R^2,yes
Beta (1),not_relevant
Beta (2),not_relevant
Beta (3),not_relevant
Mean MS,not_relevant
Mean ME,not_relevant
Mean MEF,not_relevant
Mean ToU,not_relevant
Mean AdoptRate,not_relevant
Mean MEF (Experiment 1),not_relevant
Mean MEF (Experiment 3),not_relevant
Mean (pre),not_relevant
Mean (post),not_relevant
F-statistic,not_relevant
Wilks's lambda,not_relevant
Median (IQR),not_relevant
χ2 (5),not_relevant
correlation coefficient (r),yes
Negative effect,not_relevant
median,not_relevant
Mean Distance,not_relevant
mean (C1),not_relevant
mean (C2),not_relevant
Effect Size,no
Usage time (m),not_relevant
Per question time (s),not_relevant
Return rate,not_relevant
Total repetitions,not_relevant
Total questions,not_relevant
Overall recall accuracy,not_relevant
Practiced recall accuracy,not_relevant
Overall recognition accuracy,not_relevant
Practiced recognition accuracy,not_relevant
One-week recognition accuracy,not_relevant
Two-month recognition accuracy,not_relevant
Min. Width (mm),not_relevant
Throughput (bits/s),not_relevant
SMAPE,
Coefficient (Freq. of Conflict Situations),
Coefficient (Service Orientation),
Coefficient (Recognition),
Coefficient (Independence),
Coefficient (Responsibility for outcomes),
Coefficient (Working Conditions),
Coefficient (Freq. Decision Making),
Coefficient (Enterprising),
Coefficient (Monitoring Resources),
Coefficient (Initiative),
Coefficient (Adaptability/Flexibility),
Coefficient (Work Schedules),
Coefficient (Face to Face Discussions),
Coefficient (Importance of Being Exact),
Coefficient (Coaching Others),
Coefficient (Instructing),
Coefficient (Wk. w/ Work Group),
Coefficient (Conventional),
Coefficient (Support),
Coefficient (Maintain Relationships),
Mean ± SD,not_relevant
Exp(b),
Δ,not_relevant
standard deviation,
MAE,not_relevant
MAE for position,
MAE for velocity,
MAE for acceleration,
RMSE for position,
RMSE for velocity,
RMSE for acceleration,
Success rate,
BF01,
BF10,not_relevant
Correction Rate,
Selection Accuracy,
Mean ± SD (MG),
Mean ± SD (NC),
mean comfortability score,
Partial Eta Squared (η²p),yes
Partial Eta Squared (η²),yes
Number of Optional Tasks Completed,
Focused attention,
Perceived usability,
Aesthetic appeal,
Reward factor,
Overall,
Unweighted NASA-TLX Score,
Wilks’ λ (Arousal),
Wilks’ λ (Valence),
Z (Valence),
Z (Arousal),
χ² (Arousal),
χ² (Valence),
χ² (Lane Deviation),
χ² (Steering Angle),
χ² (Average Speed),
χ² (Number of Collisions),
χ² (Comfort Ratings),
Mean (SD) Condition 1,
Mean (SD) Condition 2,
Mean (SD) Water/Clean Air,
Mean (SD) Rose,
Mean (SD) Peppermint,
Mean (SD) Civet,
Bonferroni adjusted p,
w,
Mean Rank Difference,
Geometric Mean Time (Audio),
Geometric Mean Time (Braille),
Total Count of Labels Read (Braille),
Total Count of Labels Read (Audio),
Δ (Delta),
Performance Increase,
p-value,
est. ω²,check test
Association with social engagement,
Association with interpersonal behavior,
Association with prosocial activities,
Association with recreation,
Association with independence-competence,
Association with independence-performance,
Association with employment,
Pearson r-value (5-fold cross validation),yes
Test MAE/RMSE (5-fold cross validation),
vs. baseline MAE/RMSE (5-fold cross validation),
Pearson r-value (leave-one-subject-out),yes
Per-user error mean(std) (leave-one-subject-out),
Pearson r-value (customized leave-one-subject-out),yes
Per-user error mean(std) (customized leave-one-subject-out),
SE,not_relevant
Underestimation rate,
Overestimation rate,
Perception Frequency Range (Finger Pad),
Perception Frequency Range (Temple),
Just-Noticeable-Difference (JND),
Point of Subjective Equality (PSE),
Completion Time,not_relevant
Motion Sickness,
Weber Fraction (WF),
Frequency,not_relevant
Overall Classification Accuracy,
Within-user Classification Accuracy,
Between-user Classification Accuracy,
Overall Button Click Detection Accuracy,
ANOVA F-value for Button Click Recognition Accuracies,
ANOVA p-value for Button Click Recognition Accuracies,
ANOVA F-value for Slide Time,
ANOVA p-value for Slide Time,
Overall Detection Accuracy,
Within-user Sensing Accuracy,
Between-user Sensing Accuracy,
Kendall's W,not_relevant
Chi-squared (χ²),
ICC for Readability,
ICC for Coherence,
Accuracy Improvement,not_relevant
Standard Deviation Increase,
η^2_G,yes
Accuracy for Tension Force Intensities,
Accuracy for Resistance Force Intensities,
Accuracy for Impact Force Intensities,
Accuracy for Material Rigidities,
Accuracy for Tension Force Directions,
Realism Rating,
Enjoyment Rating,
Average Force (Heavy),
Average Force (Medium),
Average Force (Light),
Mean (Callisto),
Mean (Control),not_relevant
partial eta-squared,yes
Slope (dX),
Intercept (dX),
R-squared (dX),yes
Slope (dY),
Intercept (dY),
R-squared (dY),yes
Mean Difference (Small Multiples vs. Animation),
Mean Difference (Small Multiples vs. Glyph Map),
Mean Difference (Animation vs. Glyph Map),
Mean Error Rate (Small Multiples),
Mean Error Rate (Animation),
Mean Error Rate (Glyph Map),
Confidence (Animation),
Confidence (Small Multiples),
Confidence (Glyph Map),
Error Rate,
Confidence,not_relevant
Completion Time (Animation),
Completion Time (Small Multiples),
Completion Time (Glyph Map),
Error Rate (Animation),
Error Rate (Glyph Map),
Error Rate (Small Multiples),
log absolute error difference,
log absolute error mean difference,
seconds,
Mean (Tangible),
Mean (Voice),
Mean (Smartphone),
mean similarity difference,
mean similarity,
B0+,
Percentage Answered,
Percentage Accurate,
steps of improvement on 5-point Likert scale,
within-user R2,yes
cross-user R2,yes
classification,
ranking,
Stress level diff,
Coeff.,
Estimates,
accuracy,
Mean (Standard Deviation),
median difference,
Source Type,
Condition,
Interaction (Source Type x Condition),
3-way Interaction (Participant Partisanship x Source Type x Condition),
2-way Interaction (Participant Partisanship x Source Type),
Control,not_relevant
Treatment,
Democrats (Control),
Democrats (Treatment),
Republicans (Control),
Republicans (Treatment),
Familiarity,not_relevant
Interaction (Familiarity x Source Type),
t value,
mean (music playing),
std (music playing),
mean (no music),
std (no music),
ω,maybe
Average,
Longest streak,
Average streak,
MA app,
MA skill,
Mean pos,
Mean neg,
Mean pos-neg,
SD pos,
SD neg,
SD pos-neg,
"Negative emotions (sadness, fear)",
Joy,
"Anger, Disgust",
Other emotions,
First person plural pronouns,
Second person pronouns,
Difference (We - You),
Encouragement: Sentences Ratio,
Average length of support message (sentences),
Average length of support message (words),
SocialBehavior,
Abstraction,
Action Verbs,
InstrumentalBehavior,
TemporalReferences,
Mean words (more successful),
Mean sentences (more successful),
Mean words (less successful),
Mean sentences (less successful),
Estimate for Actual time,
Estimate for Actual sessions,
Estimate for Age,
Estimate for Gender:Male,
Estimate for Gender:Other,
Estimate for Brazil,
Estimate for France,
Estimate for Indonesia,
Estimate for Mexico,
Estimate for Philippines,
Estimate for Thailand,
Estimate for Vietnam,
Estimate for Spain,
Authenticity Score Change,
Average Duration (Treatment),
Average Duration (Control),
Mean (GroupfeedBot),
Mean (basic chatbot),
Mean (Basic),
Mean (GFB),
SD (Basic),
SD (GFB),
Gini (Basic),
Gini (GFB),
Mean Completion Time,
Pseudo-R²,no
β (Positive Affect),
β (Negative Affect),
Cohen's d (Noticing vs. Synchronizing),yes
Cohen's d (Differentiating vs. Synchronizing),yes
β (Reappraisal),
β (Distraction),
Mean (WRAPI),
Mean (Coding),
ED_avg,
Error Rate (One Finger),
Error Rate (Two Fingers),
Boost (%),
Screen-in Rate Pre-Deployment,
Screen-in Rate Post-Deployment,
Screen-in Rate for Underestimated Scores (Shown Score 11-15),
Screen-in Rate for Other Scores (Shown Score 11-15),
Screen-in Rate for Black Children Pre-Deployment,
Screen-in Rate for Black Children Post-Deployment,
Screen-in Rate for White Children Pre-Deployment,
Screen-in Rate for White Children Post-Deployment,
Percentage choosing balanced option,
Percentage choosing selfish option,
Percentage choosing balanced option (VIZ),
Percentage choosing balanced option (NOVIZ),
Percentage choosing Share (VIZ),
Percentage choosing Share (NOVIZ),
correlation coefficient,
$\u03B7 _G^2$,yes
Mean (SD) for BPH,
Median for BPH,
Mean (SD) for MCWS,
Median for MCWS,
Mean (SD) for CTEG,
Median for CTEG,
Mean (SD) for AAT,
Median for AAT,
Mean (SD) for APA,
Median for APA,
No Assistance for BPH,
Physical Assistance for BPH,
Technical Assistance for BPH,
Educational Assistance for BPH,
Medical Assistance for BPH,
No Assistance for MCWS,
Physical Assistance for MCWS,
Technical Assistance for MCWS,
Educational Assistance for MCWS,
Medical Assistance for MCWS,
No Assistance for CTEG,
Physical Assistance for CTEG,
Technical Assistance for CTEG,
Educational Assistance for CTEG,
Medical Assistance for CTEG,
No Assistance for AAT,
Physical Assistance for AAT,
Technical Assistance for AAT,
Educational Assistance for AAT,
Medical Assistance for AAT,
No Assistance for APA,
Physical Assistance for APA,
Technical Assistance for APA,
Educational Assistance for APA,
Medical Assistance for APA,
Mean (Control Group),
Mean (Experimental Group),
Mean (First Tertile Control Group),
Mean (First Tertile Experimental Group),
Mean (Second Tertile Control Group),
Mean (Second Tertile Experimental Group),
Mean (Third Tertile Control Group),
Mean (Third Tertile Experimental Group),
Difference in acceptability,
F1 macro score,
Standardized Coefficient (Intercept),
Standardized Coefficient (Number of replies),
Standardized Coefficient (Account age),
Standardized Coefficient (Number of followers),
Standardized Coefficient (Verified on Twitter),
Standardized Coefficient (Number of retweets),
Standardized Coefficient (Candidates followed),
Standardized Coefficient (Page rank),
Standardized Coefficient (Partisan hashtag in profile),
Standardized Coefficient (% replies to opponent candidates),
Standardized Coefficient (Opponent candidates replied to),
Standardized Coefficient (Adversarial tweets posted by friends),
Standardized Coefficient (% friends posted ≥ 3 adversarial tweets),
Percentage Increase,
Min,
Max,
Kramer's v,yes
Median Rank,
Accuracy (NL),
Accuracy (AM),
Time (NL),
Time (AM),
Effect Size (Time),check test
Effect Size (Accuracy),check test
Overview Insights (AM),
Ranked Attribute Insights (AM),
Topology-only Insights (NL),
Topology-Attribute Insights (NL),
Within-Node Attribute Insights (NL),
FAR (Tip Pinch),
FRR (Tip Pinch),
FAR (Side Pinch),
FRR (Side Pinch),
"Mean Time (Neutral, Aligned)",
"Mean Time (Neutral, Misaligned)",
"Mean Time (Snapping, Aligned)",
"Mean Time (Snapping, Misaligned)",
Cliff's delta,
Percentage from VR,
VR Active Minutes,
Steps Active Minutes,
Total Active Minutes,
Mean Squared Error (MSE),
proportion difference,
Variance Explained,not_relevant
Cronbach's Alpha,not_relevant
R^2 Adjusted,yes
ß,
BF,
	δ,
Medium ES,
Large ES,
Cohen's f,yes
Cronbach's α,not_relevant
β1,
F ratio,
Mean agreement,
Percentage agreement,
Participants,
utm_source,
utm_medium,
utm_content,
No Of Videos Watched Per User,
Sweet Anita,
iFL TV,
Tim Pool,
FNG,
The Alpha Male Strategies Show,
Cereal Entrepreneur - Jordan Steen,
LetsPlay,
SAM THE COOKING GUY,
Unbox Therapy,
Movieclips,
Linus Tech Tips,
Simply Nailogical,
jade darmawangsa,
Coefficient (Facebook-related job),
Coefficient (time spent on Facebook score),
MCC,
Mean time (old interface),
Mean time (new interface),
Percentage (old notification settings),
Percentage (new notification settings),
Percentage (ad preferences page),
Percentage (removing ad interests),
F1 score,
Mean (Avatar),
Mean (Camera),
Mean (Skeleton),
λ,not_relevant
Spine,
Pan (Control),
partial ɳ²,yes
Mean (Camera - Dancing),
Mean (Camera - Jumping),
Mean (Camera - Spine),
Mean (Camera - Panning),
Mean (Control - Touching),
Mean (Control - Dancing),
Mean (Control - Panning),
Mean (Control - Spine),
Mean (Control - Waving),
Mean (Control - Swiping),
Mean (Control - Other),
Mean (Avatar - Adults),
Mean (Avatar - Children),
Mean (Skeleton - Adults),
Mean (Camera - Adults),
Exploration,
Results Worth Effort,
Enjoyment,
Adjusted R² (μ),yes
Adjusted R² (σ),yes
MAE (μ),
MAE (σ),
MWD,
Mean resumption lag (ScreenTrack),
Mean resumption lag (Control),
Coverage Improvement,
Transition Coverage Improvement,
Transition Coverage Difference,
Time Reduction,
Time Metrics Difference,
Task Completion Time Difference,
Average time (s),
Time (s) per transition,
Adjusted R^2,yes
Mean (Gamers),
Mean (Non-gamers),
cμ,
cσ,
ν,
Median (Embodied Axes),
Median (Tracked Controllers),
Tukey HSD,
Pillai's Trace,
Mean (CT Score),
Mean (Block Count),
Mean (Abstraction),
Mean (Parallelism),
Mean (Logic),
Mean (Synchronization),
Mean (Flow Control),
Mean (User Interactivity),
Mean (Data Representation),
a_n,
a_v,
b_n,
b_v,
"Mean F1, P1",
"Mean F1, P2",
"Mean F1, P3",
Preference for Ours,
Preference for Keyword,
Preference for Manual,
Ours (Mean),
Manual (Mean),
Keyword (Mean),
partial eta squared,yes
chi-squared,
Accuracy (M),
AUC (M),
Accuracy (F),
AUC (F),
Textio,
Unitive,
BERT fine-tune,
Mean Time (Static),
Mean Time (Interactive),
Error Rate (Static),
Error Rate (Interactive),
Scroll Distance (Static),
Scroll Distance (Interactive),
Average Time Spent,
Berry et al. approach,
Kendall's Concordance Coefficient W,
Chi-Square (χ²),not_relevant
classification performance,
correction time,
number of necessary manual operations,
F0.5,
F2,
Correctness Before,
Correctness After,
Manual,
Automatic,
Coefficient (Unfavorable Outcome),
Coefficient (Biased Treatment),
Coefficient (Unfavorable Outcome vs. Favorable Outcome),
Coefficient (Biased Treatment vs. Unbiased Treatment),
Cohen's h,
% Correct,
% Participants,
Effect size,check test
Mean difference (depth ray),
Mean difference (bubble),
Mean difference (shadow),
Mean difference (heatmap),
Mean difference (minVis),
Percentage (bubble),
Mean confidence (heatmap),
Mean helpfulness (heatmap),
Mean comprehensibility (heatmap),
Confidence in Proportion Estimation,
Confidence in Quantity Estimation,
Verbal Expressions of Enjoyment,
Verbal Expressions of Lack of Enjoyment,
Immersion in VR,
Immersion in 2D,
References to Life Experiences in VR,
References to Life Experiences in 2D,
References to Real World Objects and Senses in VR,
References to Real World Objects and Senses in 2D,
References to Abstract Concepts in 2D,
References to Abstract Concepts in VR,
Log Estimate (LE),
Coef,
IS Scores,
ES Scores,
