"doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es"
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",8,"regression analysis","211","UNKNOWN","",1,"R2",0.23,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.479583152331272
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",9,"regression analysis","211","UNKNOWN","",1,"R2",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.2
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",10,"regression analysis","211","UNKNOWN","",1,"R2",0.05,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.223606797749979
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",11,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.346410161513775
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",11,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.574456264653803
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",12,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.08,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.282842712474619
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",12,"regression analysis","211","UNKNOWN","",2,"Total R2",0.3,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.547722557505166
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",13,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.41,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.640312423743285
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",13,"regression analysis","211","UNKNOWN","",2,"Total R2",0.46,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.678232998312527
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",14,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.35,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.591607978309962
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",14,"regression analysis","211","UNKNOWN","",2,"Total R2",0.4,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.632455532033676
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",15,"regression analysis","211","UNKNOWN","",1,"R2",0.23,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.479583152331272
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",16,"regression analysis","211","UNKNOWN","",1,"R2",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.360555127546399
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",17,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.316227766016838
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",17,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.574456264653803
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",18,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.2,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.447213595499958
"10.1145/3544548.3581200","empirical studies in hci;human-centered computing",18,"regression analysis","211","UNKNOWN","",2,"Total R2",0.33,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.574456264653803
"10.1145/3313831.3376707","empirical studies in hci;human-centered computing",3,"t-test","12","< .001","",1,"d",1.531,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.771966864708707
"10.1145/3313831.3376707","empirical studies in hci;human-centered computing",4,"t-test","12","< .001","",1,"d",0.758,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"t-test","unclear","yes","cohens_d","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.450088661671084
"10.1145/3313831.3376157","human-centered computing",3,"one-way within-participant design anova","101","< .01","",1,"f",0.315,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","maybe","cohens_f","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.381567148211474
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","representation level",1,"η²",0.003,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0547722557505166
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","target group",1,"η²",0.22,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.469041575982343
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","interaction between representation level and target group",1,"η²",0.003,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0547722557505166
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","self-rated expertise",1,"η²",0.08,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.282842712474619
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","interaction between expertise and representation level",1,"η²",0.002,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0447213595499958
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",1,"anova","244","< .001","3-way interaction (expertise, representation level, target group)",1,"η²",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",3,"anova (accelerometer - active minutes)","244","< .001","representation level",1,"η²",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",3,"anova (accelerometer - active minutes)","244","< .001","target group",1,"η²",0.146,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.382099463490856
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",3,"anova (accelerometer - active minutes)","244","< .001","self-rated expertise",1,"η²",0.067,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.258843582110896
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",4,"anova (accelerometer - activity)","244","< .001","target group",1,"η²",0.145,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.380788655293195
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",4,"anova (accelerometer - activity)","244","< .001","self-rated expertise",1,"η²",0.086,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.293257565972304
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",5,"anova (accelerometer - location)","244",".023","representation level",1,"η²",0.002,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0447213595499958
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",5,"anova (accelerometer - location)","244","< .001","target group",1,"η²",0.174,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.417133072292284
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",5,"anova (accelerometer - location)","244","< .001","self-rated expertise",1,"η²",0.042,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.204939015319192
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",6,"anova (accelerometer - sleep quality)","244",".001","representation level",1,"η²",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",6,"anova (accelerometer - sleep quality)","244","< .001","target group",1,"η²",0.146,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.382099463490856
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",6,"anova (accelerometer - sleep quality)","244","< .001","self-rated expertise",1,"η²",0.066,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.256904651573303
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",7,"anova (accelerometer - step count)","244","< .001","representation level",1,"η²",0.019,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.137840487520902
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",7,"anova (accelerometer - step count)","244","< .001","target group",1,"η²",0.153,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.391152144312159
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",7,"anova (accelerometer - step count)","244","< .001","self-rated expertise",1,"η²",0.088,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.296647939483827
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",8,"anova (heart rate sensor - health status)","244","< .001","representation level",1,"η²",0.004,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0632455532033676
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",8,"anova (heart rate sensor - health status)","244","< .001","target group",1,"η²",0.158,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.397492138287036
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",8,"anova (heart rate sensor - health status)","244",".001","self-rated expertise",1,"η²",0.042,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.204939015319192
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",9,"anova (heart rate sensor - life expectation)","244","< .001","representation level",1,"η²",0.016,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.126491106406735
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",9,"anova (heart rate sensor - life expectation)","244","< .001","target group",1,"η²",0.143,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.378153408023781
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",9,"anova (heart rate sensor - life expectation)","244",".002","self-rated expertise",1,"η²",0.038,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.194935886896179
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",10,"anova (light sensor - sunlight exposure)","244",".014","representation level",1,"η²",0.002,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0447213595499958
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",10,"anova (light sensor - sunlight exposure)","244","< .001","target group",1,"η²",0.108,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.3286335345031
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",10,"anova (light sensor - sunlight exposure)","244","< .001","self-rated expertise",1,"η²",0.065,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.254950975679639
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",11,"anova (sca sensor - stress sensor)","244","< .001","target group",1,"η²",0.146,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.382099463490856
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",11,"anova (sca sensor - stress sensor)","244","< .001","self-rated expertise",1,"η²",0.048,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.219089023002066
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",12,"anova (temperature sensor - training intensity)","244","< .001","representation level",1,"η²",0.036,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.189736659610103
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",12,"anova (temperature sensor - training intensity)","244","< .001","target group",1,"η²",0.168,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.409878030638384
"10.1145/3290605.3300753","usability in security and privacy;security and privacy;mobile computing;empirical studies in ubiquitous and mobile computing;ubiquitous and mobile computing;human-centered computing",12,"anova (temperature sensor - training intensity)","244","< .001","self-rated expertise",1,"η²",0.056,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"anova","not_RM","yes","eta_squared","",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.236643191323985
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",1,"mann whitney u test","360","< 0.0001","awareness of CA/FB",1,"r",0.28,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.28
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",2,"mann whitney u test","360","<.03","awareness of CA/FB",1,"r",0.14,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.14
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",3,"mann whitney u test","360",".04","awareness of CA/FB",1,"r",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.13
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",4,"mann whitney u test","360",".04","awareness of CA/FB",1,"r",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.13
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",5,"mann whitney u test","360",".04","awareness of CA/FB",1,"r",0.14,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.14
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",6,"mann whitney u test","360","<.001","awareness of CA/FB",1,"r",0.21,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.21
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",7,"mann whitney u test","360","<.01","awareness of CA/FB",1,"r",0.17,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.17
"10.1145/3313831.3376662","collaborative and social computing;human-centered computing",8,"mann whitney u test","360",".06","awareness of CA/FB",1,"r",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2020,"mann-whitney test","not_RM","yes","pearsons_r","",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1
