"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"SD (Imp.)",NA,NA,"not_relevant"
"Mean (Per.)",NA,NA,"not_relevant"
"SD (Per.)",NA,NA,"not_relevant"
"η²_G","eta_squared","generalized","yes"
"percentage points",NA,NA,"not_relevant"
"F-value",NA,NA,"not_relevant"
"mean rate of correct answers (proposed method)",NA,NA,"not_relevant"
"mean rate of correct answers (random fading method)",NA,NA,"not_relevant"
"mean rate of correct answers (standard method)",NA,NA,"not_relevant"
"reading speed (fading degree 0)",NA,NA,"not_relevant"
"reading speed (fading degree 1)",NA,NA,"not_relevant"
"reading speed (first sentences of paragraphs, proposed method)",NA,NA,"not_relevant"
"reading speed (first sentences of paragraphs, standard method)",NA,NA,"not_relevant"
"recognition rate (first sentences of paragraphs, proposed method)",NA,NA,"not_relevant"
"recognition rate (first sentences of paragraphs, standard method)",NA,NA,"not_relevant"
"μ",NA,NA,"not_relevant"
"β",NA,NA,"not_relevant"
"Incremental R2","r_squared","","yes"
"Total R2","r_squared","","yes"
"Indirect Effect",NA,NA,"not_relevant"
"Kaiser-Meyer-Olkin (KMO)",NA,NA,"not_relevant"
"Cronbach's alpha",NA,NA,"not_relevant"
"Spearman's ρ","spearmans_rho","","yes"
"Factor Loading",NA,NA,"not_relevant"
"Mean Valence",NA,NA,"not_relevant"
"Mean Arousal",NA,NA,"not_relevant"
"95% CI",NA,NA,"not_relevant"
"Odds Ratio (OR)","odds_ratio","","yes"
"R^2","r_squared","","yes"
"slope",NA,NA,"not_relevant"
"Cohen's D","cohens_d","","yes"
"F",NA,NA,"not_relevant"
"Z",NA,NA,"not_relevant"
"r_s","spearmans_rho","","maybe"
"χ²",NA,NA,"not_relevant"
"Chi-squared",NA,NA,"not_relevant"
"b",NA,NA,"not_relevant"
"Chi-square statistic",NA,NA,"not_relevant"
"Chi-square",NA,NA,"not_relevant"
"Estimate",NA,NA,"not_relevant"
"AUC",NA,NA,"not_relevant"
"Feature Importance (Thread, Culture Agnostic)",NA,NA,"not_relevant"
"Feature Importance (Thread, Indian)",NA,NA,"not_relevant"
"Feature Importance (Post, Culture Agnostic)",NA,NA,"not_relevant"
"Feature Importance (Post, Indian)",NA,NA,"not_relevant"
"η2","eta_squared","","yes"
"χ2",NA,NA,"not_relevant"
"Median Task Time (Baseline)",NA,NA,"not_relevant"
"Median Task Time (BO)",NA,NA,"not_relevant"
"Median Task Time (Batch 1)",NA,NA,"not_relevant"
"Median Task Time (Batch 2)",NA,NA,"not_relevant"
"Median Task Time (Batch 3)",NA,NA,"not_relevant"
"ρ","spearmans_rho","","yes"
"Mean (SD)",NA,NA,"not_relevant"
"Accuracy (Hand)",NA,NA,"not_relevant"
"TTR (Hand)",NA,NA,"not_relevant"
"Re-stim (Hand)",NA,NA,"not_relevant"
"Accuracy (Forearms)",NA,NA,"not_relevant"
"TTR (Forearms)",NA,NA,"not_relevant"
"Re-stim (Forearms)",NA,NA,"not_relevant"
"Accuracy (Post-Training)",NA,NA,"not_relevant"
"TTR (Post-Training)",NA,NA,"not_relevant"
"Re-stim (Post-Training)",NA,NA,"not_relevant"
"Accuracy (Recall)",NA,NA,"not_relevant"
"TTR (Recall)",NA,NA,"not_relevant"
"Re-stim (Recall)",NA,NA,"not_relevant"
"Accuracy",NA,NA,"not_relevant"
"Re-stim",NA,NA,"not_relevant"
"Mean",NA,NA,"not_relevant"
"Percentage",NA,NA,"not_relevant"
"W",NA,NA,"not_relevant"
"Cramer's V","cramers_v","","yes"
"Standardized Residual",NA,NA,"not_relevant"
"U",NA,NA,"not_relevant"
"Mean Difference",NA,NA,"not_relevant"
"Distinguishability",NA,NA,"not_relevant"
"Kappa",NA,NA,"not_relevant"
"d","cohens_d","","yes"
"regression coefficient",NA,NA,"not_relevant"
"R²","r_squared","","yes"
"estimate",NA,NA,"not_relevant"
"Deviance",NA,NA,"not_relevant"
"Krippendorff's α",NA,NA,"not_relevant"
"Mean Time (s)",NA,NA,"not_relevant"
"Correct Detection Rate",NA,NA,"not_relevant"
"Detection Rate",NA,NA,"not_relevant"
"Ease of Use",NA,NA,"not_relevant"
"Natural Look",NA,NA,"not_relevant"
"Comfort",NA,NA,"not_relevant"
"Unobtrusiveness",NA,NA,"not_relevant"
"VG",NA,NA,"not_relevant"
"Percentage of relevant responses",NA,NA,"not_relevant"
"Percentage of valid interactions",NA,NA,"not_relevant"
"WPM",NA,NA,"not_relevant"
"UER",NA,NA,"not_relevant"
"CER",NA,NA,"not_relevant"
"Speed (WPM)",NA,NA,"not_relevant"
"ηp²","eta_squared","partial","yes"
"WPM (Novice)",NA,NA,"not_relevant"
"WPM (Expert)",NA,NA,"not_relevant"
"UER% (Novice)",NA,NA,"not_relevant"
"UER% (Expert)",NA,NA,"not_relevant"
"ηp2","eta_squared","partial","yes"
"M",NA,NA,"not_relevant"
"B",NA,NA,"not_relevant"
"η² (eta squared)","eta_squared","","yes"
"Mean Accuracy",NA,NA,"not_relevant"
"mean fixation duration (real images)",NA,NA,"not_relevant"
"mean fixation duration (mental images)",NA,NA,"not_relevant"
"mean number of fixations (encoding)",NA,NA,"not_relevant"
"mean number of fixations (recall)",NA,NA,"not_relevant"
"AUC (distance measure)",NA,NA,"not_relevant"
"AUC (CNN)",NA,NA,"not_relevant"
"AUC (distance measure, recall)",NA,NA,"not_relevant"
"AUC (CNN, recall)",NA,NA,"not_relevant"
"AUC (EMD, all observers)",NA,NA,"not_relevant"
"AUC (EMD, same observer)",NA,NA,"not_relevant"
"AUC (CNN, all observers)",NA,NA,"not_relevant"
"AUC (CNN, same observer)",NA,NA,"not_relevant"
"η_p^2","eta_squared","partial","yes"
"Understanding",NA,NA,"not_relevant"
"Expression",NA,NA,"not_relevant"
"Usefulness",NA,NA,"not_relevant"
"Kru",NA,NA,"not_relevant"
"Mean difference (low)",NA,NA,"not_relevant"
"Mean difference (high)",NA,NA,"not_relevant"
"Pearson's r (overall)","pearsons_r","","yes"
"Pearson's r (significant asymmetric transfer)","pearsons_r","","yes"
"Pearson's r (no significant effect)","pearsons_r","","yes"
"Tukey HSD post hoc pairwise comparisons",NA,NA,"not_relevant"
"Q",NA,NA,"not_relevant"
"Post hoc tests",NA,NA,"not_relevant"
"Tukey HSD post hoc tests",NA,NA,"not_relevant"
"Time difference",NA,NA,"not_relevant"
"Success difference",NA,NA,"not_relevant"
"z",NA,NA,"not_relevant"
"H",NA,NA,"not_relevant"
"κ",NA,NA,"not_relevant"
"Chi-Square",NA,NA,"not_relevant"
"Regression Coefficient",NA,NA,"not_relevant"
"δ",NA,NA,"not_relevant"
"mean standard deviation in y-direction",NA,NA,"not_relevant"
"mean standard deviation in x-direction",NA,NA,"not_relevant"
"mean input speed for i'sFree",NA,NA,"not_relevant"
"mean input speed for eyes-free baseline",NA,NA,"not_relevant"
"mean input speed for eyes-on baseline",NA,NA,"not_relevant"
"mean gesturing speed for i'sFree",NA,NA,"not_relevant"
"mean gesturing speed for eyes-free baseline",NA,NA,"not_relevant"
"mean gesturing speed for eyes-on baseline",NA,NA,"not_relevant"
"mean word error rate for i'sFree",NA,NA,"not_relevant"
"mean word error rate for eyes-free baseline",NA,NA,"not_relevant"
"mean word error rate for eyes-on baseline",NA,NA,"not_relevant"
"mean backspace to word ratio for i'sFree",NA,NA,"not_relevant"
"mean backspace to word ratio for eyes-free baseline",NA,NA,"not_relevant"
"mean backspace to word ratio for eyes-on baseline",NA,NA,"not_relevant"
"mean duration for i'sFree",NA,NA,"not_relevant"
"mean duration for eyes-free baseline",NA,NA,"not_relevant"
"mean mental demand for i'sFree",NA,NA,"not_relevant"
"mean mental demand for eyes-free baseline",NA,NA,"not_relevant"
"mean mental demand for eyes-on baseline",NA,NA,"not_relevant"
"Cramér's V","cramers_v","","yes"
"Pseudo R² (McFadden)",NA,NA,"no"
"Pseudo R² (Nagelkerke)",NA,NA,"no"
"Difference in means",NA,NA,"not_relevant"
"Regression Coefficient (β)",NA,NA,"not_relevant"
"Cohen's kappa",NA,NA,"not_relevant"
"Growth rate r",NA,NA,"not_relevant"
"C0",NA,NA,"not_relevant"
"C∞",NA,NA,"not_relevant"
"Pearson's r","pearsons_r","","yes"
"Mean difference",NA,NA,"not_relevant"
"Mean (KM)",NA,NA,"not_relevant"
"Mean (SKM)",NA,NA,"not_relevant"
"Standard Deviation (KM)",NA,NA,"not_relevant"
"Standard Deviation (SKM)",NA,NA,"not_relevant"
"SUS",NA,NA,"not_relevant"
"T value",NA,NA,"not_relevant"
"Spearman correlation coefficient","spearmans_rho","","yes"
"Pearson correlation coefficient","pearsons_r","","yes"
"percentage",NA,NA,"not_relevant"
"Adjusted R²","r_squared","adjusted","maybe"
"#s",NA,NA,"not_relevant"
"#p",NA,NA,"not_relevant"
"#c",NA,NA,"not_relevant"
"η²p","eta_squared","partial","yes"
"Count",NA,NA,"not_relevant"
"Mean (M) and Standard Deviation (SD)",NA,NA,"not_relevant"
"duration",NA,NA,"not_relevant"
"retweet duration",NA,NA,"not_relevant"
"reply rate",NA,NA,"not_relevant"
"retweet rate",NA,NA,"not_relevant"
"reply duration",NA,NA,"not_relevant"
"Growth Rate",NA,NA,"not_relevant"
"Pearson's R","pearsons_r","","yes"
"ω (omega)","omega","","maybe"
"Mean (M)",NA,NA,"not_relevant"
"Standard Deviation (SD)",NA,NA,"not_relevant"
"Median (Mdn)",NA,NA,"not_relevant"
"Minimum (Min)",NA,NA,"not_relevant"
"Maximum (Max)",NA,NA,"not_relevant"
"Sum",NA,NA,"not_relevant"
"log KL divergence (KLD)",NA,NA,"not_relevant"
"
η_p^2","eta_squared","partial","yes"
"η_G^2","eta_squared","generalized","yes"
"Mean Rating",NA,NA,"not_relevant"
"B (Regression Coefficient)",NA,NA,"not_relevant"
"r (Correlation Coefficient)","pearsons_r","","yes"
"Partial Eta Squared (η_p^2)","eta_squared","partial","yes"
"Chi-Squared (χ²)",NA,NA,"not_relevant"
"Delta (δ)",NA,NA,"not_relevant"
"Security Score",NA,NA,"not_relevant"
"Secure",NA,NA,"not_relevant"
"Mean Amplitude (degrees)",NA,NA,"not_relevant"
"Percentage Difference",NA,NA,"not_relevant"
"βx= 0",NA,NA,"not_relevant"
"βx= 1",NA,NA,"not_relevant"
"βx= 2",NA,NA,"not_relevant"
"βx= 3",NA,NA,"not_relevant"
"βx= 4",NA,NA,"not_relevant"
"βy= 0",NA,NA,"not_relevant"
"βy= 1",NA,NA,"not_relevant"
"βy= 2",NA,NA,"not_relevant"
"βy= 3",NA,NA,"not_relevant"
"βy= 4",NA,NA,"not_relevant"
"CSI Score",NA,NA,"not_relevant"
"mean gaze estimation error (Tobii EyeX)",NA,NA,"not_relevant"
"mean gaze estimation error (MPIIFaceGaze)",NA,NA,"not_relevant"
"mean gaze estimation error (GazeML)",NA,NA,"not_relevant"
"t-value",NA,NA,"not_relevant"
"Precision",NA,NA,"not_relevant"
"Recall",NA,NA,"not_relevant"
"F-score",NA,NA,"not_relevant"
"f","cohens_f","","maybe"
"OR","odds_ratio","","yes"
"Percentage Increase in Friends",NA,NA,"not_relevant"
"Hazard Ratio (HR)",NA,NA,"not_relevant"
"Transition Probability",NA,NA,"not_relevant"
"F1 Score",NA,NA,"not_relevant"
"ROC AUC",NA,NA,"not_relevant"
"F1 Score Difference",NA,NA,"not_relevant"
"ROC AUC Difference",NA,NA,"not_relevant"
"Mean Difference (What.Hack vs Anti Phishing Phil)",NA,NA,"not_relevant"
"Mean Difference (What.Hack vs PhishLine)",NA,NA,"not_relevant"
"Mean Difference (Anti Phishing Phil vs PhishLine)",NA,NA,"not_relevant"
"Proportion",NA,NA,"not_relevant"
"mean",NA,NA,"not_relevant"
"difference",NA,NA,"not_relevant"
"AR",NA,NA,"not_relevant"
"Total Proposals",NA,NA,"not_relevant"
"Distinct Proposals",NA,NA,"not_relevant"
"MM%",NA,NA,"not_relevant"
"Max-Consensus (Cm)",NA,NA,"not_relevant"
"Consensus-Distinct (Cd)",NA,NA,"not_relevant"
"Distance (SE)",NA,NA,"not_relevant"
"Time (SE)",NA,NA,"not_relevant"
"Success Rate (SE)",NA,NA,"not_relevant"
"Accuracy (SE)",NA,NA,"not_relevant"
"Proportion of successful blends",NA,NA,"not_relevant"
"Average number of brainstormed items",NA,NA,"not_relevant"
"Average number of images found",NA,NA,"not_relevant"
"Number of good blends per concept pair",NA,NA,"not_relevant"
"partial η²","eta_squared","partial","yes"
"Mean (Base)",NA,NA,"not_relevant"
"Mean (RDF)",NA,NA,"not_relevant"
"Mean (ACF)",NA,NA,"not_relevant"
"median (focused)",NA,NA,"not_relevant"
"median (open)",NA,NA,"not_relevant"
"Mean (Neuroscience, Animation-based)",NA,NA,"not_relevant"
"SD (Neuroscience, Animation-based)",NA,NA,"not_relevant"
"Mean (Neuroscience, Text-based)",NA,NA,"not_relevant"
"SD (Neuroscience, Text-based)",NA,NA,"not_relevant"
"t(97) (Neuroscience)",NA,NA,"not_relevant"
"Mean (Binary, Animation-based)",NA,NA,"not_relevant"
"SD (Binary, Animation-based)",NA,NA,"not_relevant"
"Mean (Binary, Text-based)",NA,NA,"not_relevant"
"SD (Binary, Text-based)",NA,NA,"not_relevant"
"t(97) (Binary)",NA,NA,"not_relevant"
"Mean (High Mental-Effort)",NA,NA,"not_relevant"
"SD (High Mental-Effort)",NA,NA,"not_relevant"
"Mean (Low Mental-Effort)",NA,NA,"not_relevant"
"SD (Low Mental-Effort)",NA,NA,"not_relevant"
"t(45)",NA,NA,"not_relevant"
"Slope",NA,NA,"not_relevant"
"t(93) (Binary Integers)",NA,NA,"not_relevant"
"t(93) (D-To-B)",NA,NA,"not_relevant"
"t(93) (Binary Addition)",NA,NA,"not_relevant"
"t(92) (Two's Complement, m1)",NA,NA,"not_relevant"
"t(90) (Two's Complement, m2)",NA,NA,"not_relevant"
"ICC2k",NA,NA,"not_relevant"
"SD",NA,NA,"not_relevant"
"Std",NA,NA,"not_relevant"
"MSE",NA,NA,"not_relevant"
"Decrease in stride length per level of auditory realism",NA,NA,"not_relevant"
"Increase in TCT per level of auditory realism",NA,NA,"not_relevant"
"Quadratic effect on TCT",NA,NA,"not_relevant"
"Effect on head height",NA,NA,"not_relevant"
"Effect on proportion of cautious stepping",NA,NA,"not_relevant"
"N. opt.",NA,NA,"not_relevant"
"N. lim.",NA,NA,"not_relevant"
"RMSE",NA,NA,"not_relevant"
"eta squared","eta_squared","","yes"
"Difference of Means",NA,NA,"not_relevant"
"Error Rate Difference",NA,NA,"not_relevant"
"S (Saved)",NA,NA,"not_relevant"
"D (Discarded)",NA,NA,"not_relevant"
"SbS (Step-by-Step explanation used)",NA,NA,"not_relevant"
"L (Loop)",NA,NA,"not_relevant"
"I (Inconsistency)",NA,NA,"not_relevant"
"R (Redundancy)",NA,NA,"not_relevant"
"Total",NA,NA,"not_relevant"
"Mean (Ear Touch)",NA,NA,"not_relevant"
"SD (Ear Touch)",NA,NA,"not_relevant"
"Mean (Finger Touch)",NA,NA,"not_relevant"
"SD (Finger Touch)",NA,NA,"not_relevant"
"Partial Eta Squared","eta_squared","partial","yes"
"F1",NA,NA,"not_relevant"
"Example Queries",NA,NA,"not_relevant"
"Mean (Females)",NA,NA,"not_relevant"
"Mean (Males)",NA,NA,"not_relevant"
"Frequency of 'precise'",NA,NA,"not_relevant"
"Frequency of 'imprecise'",NA,NA,"not_relevant"
"Frequency of 'untrustworthy'",NA,NA,"not_relevant"
"Frequency of 'inexpensive'",NA,NA,"not_relevant"
"Frequency of 'weak'",NA,NA,"not_relevant"
"Frequency of 'smooth'",NA,NA,"not_relevant"
"Frequency of 'pleasant'",NA,NA,"not_relevant"
"Frequency of 'strong'",NA,NA,"not_relevant"
"Coefficient a",NA,NA,"not_relevant"
"Coefficient b",NA,NA,"not_relevant"
"Coefficient c",NA,NA,"not_relevant"
"Coefficient d",NA,NA,"not_relevant"
"Coefficient e",NA,NA,"not_relevant"
"Coefficient f",NA,NA,"not_relevant"
"Median",NA,NA,"not_relevant"
"Difference in Accuracy",NA,NA,"not_relevant"
"p",NA,NA,"not_relevant"
"mean ± SEM",NA,NA,"not_relevant"
"Log time",NA,NA,"not_relevant"
"Log total time",NA,NA,"not_relevant"
"Log daily time",NA,NA,"not_relevant"
"Estimated Coefficient",NA,NA,"not_relevant"
"Correlation Coefficient (r)",NA,NA,"not_relevant"
"AUC (ALL)",NA,NA,"not_relevant"
"AUC (IC)",NA,NA,"not_relevant"
"AUC (AC)",NA,NA,"not_relevant"
"Beta",NA,NA,"not_relevant"
"Average Rating (SD)",NA,NA,"not_relevant"
"Pre-Study",NA,NA,"not_relevant"
"Post-Interaction",NA,NA,"not_relevant"
"One-Week",NA,NA,"not_relevant"
"Neutral",NA,NA,"not_relevant"
"Curious",NA,NA,"not_relevant"
"Curious+Reveal",NA,NA,"not_relevant"
"Incidence Rate Ratio",NA,NA,"not_relevant"
"Z-Score",NA,NA,"not_relevant"
"odds ratio","odds_ratio","","yes"
"Generalization Error (°)",NA,NA,"not_relevant"
"Error (°)",NA,NA,"not_relevant"
"5-pixel error (%)",NA,NA,"not_relevant"
"Inference Time (ms)",NA,NA,"not_relevant"
"Mean Error",NA,NA,"not_relevant"
"Median Time",NA,NA,"not_relevant"
"Median Error",NA,NA,"not_relevant"
"Increase in RT per hour",NA,NA,"not_relevant"
"Increase in RT per blink/min",NA,NA,"not_relevant"
"X^2",NA,NA,"not_relevant"
"Reading Speed Increase",NA,NA,"not_relevant"
"Reading Speed Decrease",NA,NA,"not_relevant"
"Readability Rating",NA,NA,"not_relevant"
"Classical Aesthetics Rating",NA,NA,"not_relevant"
"Expressive Aesthetics Rating",NA,NA,"not_relevant"
"Intercept",NA,NA,"not_relevant"
"Reader View Effect",NA,NA,"not_relevant"
"Dyslexia (diagnosed) Effect",NA,NA,"not_relevant"
"Dyslexia (self-diagnosed) Effect",NA,NA,"not_relevant"
"RV × Dys (diagnosed) Interaction Effect",NA,NA,"not_relevant"
"RV × Dys (self-diagnosed) Interaction Effect",NA,NA,"not_relevant"
"Screenshot Width Effect",NA,NA,"not_relevant"
"Word Count Effect",NA,NA,"not_relevant"
"Age Effect",NA,NA,"not_relevant"
"Native English Speaker Effect",NA,NA,"not_relevant"
"Difference",NA,NA,"not_relevant"
"Difference in Aptness",NA,NA,"not_relevant"
"Difference in Specificity",NA,NA,"not_relevant"
"Difference in Imageability",NA,NA,"not_relevant"
"T",NA,NA,"not_relevant"
"Points",NA,NA,"not_relevant"
"GroupMean",NA,NA,"not_relevant"
"GroupSD",NA,NA,"not_relevant"
"GroupSize=20",NA,NA,"not_relevant"
"GroupSize=50",NA,NA,"not_relevant"
"R-squared","r_squared","","yes"
"GroupMean*GroupSD",NA,NA,"not_relevant"
"GroupMean*GroupSize=20",NA,NA,"not_relevant"
"GroupMean*GroupSize=50",NA,NA,"not_relevant"
"GroupSD*GroupSize=20",NA,NA,"not_relevant"
"GroupSD*GroupSize=50",NA,NA,"not_relevant"
"GroupMean*GroupSD*GroupSize=20",NA,NA,"not_relevant"
"GroupMean*GroupSD*GroupSize=50",NA,NA,"not_relevant"
"Points2",NA,NA,"not_relevant"
"GrpMean*GrpSD*GrpSize=20",NA,NA,"not_relevant"
"GrpMean*GrpSD*GrpSize=50",NA,NA,"not_relevant"
"Standard Deviation",NA,NA,"not_relevant"
"Standardized Coefficient Beta",NA,NA,"not_relevant"
"Coeff (SE)",NA,NA,"not_relevant"
"Mean (Pincher)",NA,NA,"not_relevant"
"Mean (Dragger)",NA,NA,"not_relevant"
"Mean (Presser)",NA,NA,"not_relevant"
"Effect Size (Pincher)",NA,NA,"not_relevant"
"Effect Size (Dragger)",NA,NA,"not_relevant"
"Effect Size (Presser)",NA,NA,"not_relevant"
"Partial η²","eta_squared","partial","yes"
"ω²","omega_squared","","yes"
"r^2","r_squared","","yes"
"Spearman's rho","spearmans_rho","","yes"
"adjusted R^2","r_squared","adjusted","yes"
"Beta (1)",NA,NA,"not_relevant"
"Beta (2)",NA,NA,"not_relevant"
"Beta (3)",NA,NA,"not_relevant"
"Mean MS",NA,NA,"not_relevant"
"Mean ME",NA,NA,"not_relevant"
"Mean MEF",NA,NA,"not_relevant"
"Mean ToU",NA,NA,"not_relevant"
"Mean AdoptRate",NA,NA,"not_relevant"
"Mean MEF (Experiment 1)",NA,NA,"not_relevant"
"Mean MEF (Experiment 3)",NA,NA,"not_relevant"
"Mean (pre)",NA,NA,"not_relevant"
"Mean (post)",NA,NA,"not_relevant"
"F-statistic",NA,NA,"not_relevant"
"Wilks's lambda",NA,NA,"not_relevant"
"Median (IQR)",NA,NA,"not_relevant"
"χ2 (5)",NA,NA,"not_relevant"
"correlation coefficient (r)","pearsons_r","","yes"
"Negative effect",NA,NA,"not_relevant"
"median",NA,NA,"not_relevant"
"Mean Distance",NA,NA,"not_relevant"
"mean (C1)",NA,NA,"not_relevant"
"mean (C2)",NA,NA,"not_relevant"
"Effect Size",NA,NA,"no"
"Usage time (m)",NA,NA,"not_relevant"
"Per question time (s)",NA,NA,"not_relevant"
"Return rate",NA,NA,"not_relevant"
"Total repetitions",NA,NA,"not_relevant"
"Total questions",NA,NA,"not_relevant"
"Overall recall accuracy",NA,NA,"not_relevant"
"Practiced recall accuracy",NA,NA,"not_relevant"
"Overall recognition accuracy",NA,NA,"not_relevant"
"Practiced recognition accuracy",NA,NA,"not_relevant"
"One-week recognition accuracy",NA,NA,"not_relevant"
"Two-month recognition accuracy",NA,NA,"not_relevant"
"Min. Width (mm)",NA,NA,"not_relevant"
"Throughput (bits/s)",NA,NA,"not_relevant"
"SMAPE",NA,NA,"not_relevant"
"Coefficient (Freq. of Conflict Situations)",NA,NA,"not_relevant"
"Coefficient (Service Orientation)",NA,NA,"not_relevant"
"Coefficient (Recognition)",NA,NA,"not_relevant"
"Coefficient (Independence)",NA,NA,"not_relevant"
"Coefficient (Responsibility for outcomes)",NA,NA,"not_relevant"
"Coefficient (Working Conditions)",NA,NA,"not_relevant"
"Coefficient (Freq. Decision Making)",NA,NA,"not_relevant"
"Coefficient (Enterprising)",NA,NA,"not_relevant"
"Coefficient (Monitoring Resources)",NA,NA,"not_relevant"
"Coefficient (Initiative)",NA,NA,"not_relevant"
"Coefficient (Adaptability/Flexibility)",NA,NA,"not_relevant"
"Coefficient (Work Schedules)",NA,NA,"not_relevant"
"Coefficient (Face to Face Discussions)",NA,NA,"not_relevant"
"Coefficient (Importance of Being Exact)",NA,NA,"not_relevant"
"Coefficient (Coaching Others)",NA,NA,"not_relevant"
"Coefficient (Instructing)",NA,NA,"not_relevant"
"Coefficient (Wk. w/ Work Group)",NA,NA,"not_relevant"
"Coefficient (Conventional)",NA,NA,"not_relevant"
"Coefficient (Support)",NA,NA,"not_relevant"
"Coefficient (Maintain Relationships)",NA,NA,"not_relevant"
"Mean ± SD",NA,NA,"not_relevant"
"Exp(b)",NA,NA,"not_relevant"
"Δ",NA,NA,"not_relevant"
"standard deviation",NA,NA,"not_relevant"
"MAE",NA,NA,"not_relevant"
"MAE for position",NA,NA,"not_relevant"
"MAE for velocity",NA,NA,"not_relevant"
"MAE for acceleration",NA,NA,"not_relevant"
"RMSE for position",NA,NA,"not_relevant"
"RMSE for velocity",NA,NA,"not_relevant"
"RMSE for acceleration",NA,NA,"not_relevant"
"Success rate",NA,NA,"not_relevant"
"BF01",NA,NA,"not_relevant"
"BF10",NA,NA,"not_relevant"
"Correction Rate",NA,NA,"not_relevant"
"Selection Accuracy",NA,NA,"not_relevant"
"Mean ± SD (MG)",NA,NA,"not_relevant"
"Mean ± SD (NC)",NA,NA,"not_relevant"
"mean comfortability score",NA,NA,"not_relevant"
"Partial Eta Squared (η²p)","eta_squared","partial","yes"
"Partial Eta Squared (η²)","eta_squared","partial","yes"
"Number of Optional Tasks Completed",NA,NA,"not_relevant"
"Focused attention",NA,NA,"not_relevant"
"Perceived usability",NA,NA,"not_relevant"
"Aesthetic appeal",NA,NA,"not_relevant"
"Reward factor",NA,NA,"not_relevant"
"Overall",NA,NA,"not_relevant"
"Unweighted NASA-TLX Score",NA,NA,"not_relevant"
"Wilks’ λ (Arousal)",NA,NA,"not_relevant"
"Wilks’ λ (Valence)",NA,NA,"not_relevant"
"Z (Valence)",NA,NA,"not_relevant"
"Z (Arousal)",NA,NA,"not_relevant"
"χ² (Arousal)",NA,NA,"not_relevant"
"χ² (Valence)",NA,NA,"not_relevant"
"χ² (Lane Deviation)",NA,NA,"not_relevant"
"χ² (Steering Angle)",NA,NA,"not_relevant"
"χ² (Average Speed)",NA,NA,"not_relevant"
"χ² (Number of Collisions)",NA,NA,"not_relevant"
"χ² (Comfort Ratings)",NA,NA,"not_relevant"
"Mean (SD) Condition 1",NA,NA,"not_relevant"
"Mean (SD) Condition 2",NA,NA,"not_relevant"
"Mean (SD) Water/Clean Air",NA,NA,"not_relevant"
"Mean (SD) Rose",NA,NA,"not_relevant"
"Mean (SD) Peppermint",NA,NA,"not_relevant"
"Mean (SD) Civet",NA,NA,"not_relevant"
"Bonferroni adjusted p",NA,NA,"not_relevant"
"w",NA,NA,"not_relevant"
"Mean Rank Difference",NA,NA,"not_relevant"
"Geometric Mean Time (Audio)",NA,NA,"not_relevant"
"Geometric Mean Time (Braille)",NA,NA,"not_relevant"
"Total Count of Labels Read (Braille)",NA,NA,"not_relevant"
